basename,size_bytes,sha256,syntax_ok,syntax_error
Q1_R00_heterogeneous_model_panel_asset_audit_v1.py,40884,a2ae1ab64651a3f22bd87089e78d2e0d64ee162e9003f587a74da1f222f83edb,True,
Q1_R01C_third_architecture_selection_training_plan_v1.py,36997,7ae5ab7718237f3f73698a325a0a96299a73a51db1bc522b0d7de5f9afcb42ab,True,
Q1_R02_segformer_b0_three_seed_source_training_v1.py,51442,616114e5bb7e18f404f4a638c4c0f11951b1ba04910ce3c0f1389d5714f19265,True,
Q1_R02_segformer_b0_three_seed_source_training_v1_fix1.py,71170,38c42185b0bb9bf3ed5bad84b63f8cd77483ef53932edb71934731ab6f1a8398,True,
Q1_R02_segformer_b0_three_seed_source_training_v1_fix2.py,91347,fc5ec265f7af29f3e957758d689b09e0efa03f358d0f3a8d76608e96527895e9,True,
Q1_R02_segformer_b0_three_seed_source_training_v1_fix3.py,115574,8b83fee28f9a34c45d72b3708023e63ed9205be0869c188ef25049455aa10afa,True,
Q1_R02_segformer_b0_three_seed_source_training_v1_fix4.py,137568,66575696765b0dd3294c13a04e008058c4b909e04f03cf4f4dea3844e658d7b6,True,
Q1_R02_segformer_b0_three_seed_source_training_v1_fix5.py,149574,9bd3e85788db0f37bff7c94167e8526f729f2ef055e30b15820840853534a8d7,True,
Q1_R02_segformer_b0_three_seed_source_training_v1_fix6.py,150625,b8a28726c29d0a1e70140edcfbecef8c75080dcabbcfbc2cac4be3d7cf670313,True,
Q1_R02_segformer_b0_three_seed_source_training_v1_fix7.py,155650,7b1d92c4ab24eb689215f5c2a882d4161659d921c7ee29e4e32589cb5903d9a7,True,
Q1_R02R_data_directory_inventory_v1.py,15994,4e3e77db21da9a4bf895427a126a01f66b6a1eecbdae22261552664ed7614edf,True,
Q1_R02R_download_archive_inventory_v1.py,9636,82290e9f16bd4a2d727b3bedb6f0074a538b65fdb30f07605938da74cb030a0e,True,
Q1_R02R_polypdataset_archive_structure_audit_v1.py,13606,c34efdc361a8311564b3f6435a4576698870a26b09c97f704369c753115ade2a,True,
Q1_R02R_split_csv_inventory_v1.py,6772,870fd6bde2cff2dfc8a050997f342c03f99988213e2d6a4467c90da1d32065bb,True,
Q1_R02R_standardized_source_dataset_panel_reset_audit_v1.py,32348,d7534c9f4a6e29c8c4d8f3c82be1404ac9ff6d14725b877ccab92ea977257413,True,
Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix1.py,58526,6947d7dad35111e7def75a146c97c8bac5673a96a29fc4ecf6a55297f71dda48,True,
Q1_R03_nine_state_heterogeneous_source_utility_asset_v1_fix2.py,63488,d737272b756a4d2051f9c74051d7085640eaec9cd8be6dbd951c325af2a17c31,True,
Q1_R04_model_relative_prospective_utility_feasibility_loao_v1_fix1.py,46828,4aceb88bf286c83960a525e7f14494140d79884fe4dcc223d1cd40e601b2a18b,True,
Q1_R05A_confirmatory_target_eligibility_audit_v1.py,21455,6c3d25ff8be91dd98e9bbbc109ac081390c92c4e191a11e23f4e77d223613c8a,True,
Q1_R05A_confirmatory_target_eligibility_audit_v1_fix1.py,32462,096e88be04045caa8034361a1dee6b35a13438dfd618689b59cd6a6096fdf790,True,
Q1_R05B0_piccolo_confirmatory_target_selection_lock_v1.py,15464,fd15159b5329b4a976eee176544d9922c4fb39be1bf566a2330a6c63c90918b6,True,
Q1_R05B0_piccolo_confirmatory_target_selection_lock_v1_fix1.py,16816,b91f3bed58e878097530599a523ab81b7a67f75702545d19f0d322f8d20005d5,True,
Q1_R05B1_piccolo_acquisition_structure_qc_v1_fix1.py,23829,e0f940687bef8749ec5e5aa04e0aebf6fa5edf1f6770bf3fad6f818045a91d53,True,
Q1_R05B2_source_only_paot_predictor_lock_v1.py,25907,c271bcaf9d6cedd6efdeee95d63d122c578fd65c69c35bca195cd81e3cfe91b3,True,
Q1_R05C0_polypdb_backup_confirmatory_target_selection_lock_v1.py,16724,ac782e53778afe52e96451da3cefcab91953dd42aba10d2f5e570563e20ddf62,True,
Q1_R05C0_polypdb_backup_confirmatory_target_selection_lock_v1_fix1.py,20369,4aa3a32b179383185b3cd2557ed3b8ad7420c5cc4964eee6234ce4e621eade22,True,
