policy,scope,threshold,tp_harm,fn_harm,fp_nonharm,tn_nonharm,harm_recall,fpr,precision,adaptation_coverage,prevented_harm_fraction,mean_slice_source_dice,mean_slice_tent1_dice,mean_slice_deployed_dice,mean_patient_3d_source_dice,mean_patient_3d_tent1_dice,mean_patient_3d_deployed_dice
FIXED_SOURCE_THRESHOLD,UNet,0.2950987857155136,574,59,595,149,0.9067930489731437,0.7997311827956989,0.49101796407185627,0.15105301379811184,0.9067930489731437,0.47388328422088344,0.31008599770823697,0.46913980888435525,0.6438453620332235,0.5314025068717328,0.622547526885117
FIXED_SOURCE_THRESHOLD,DeepLabV3_R50,0.2950987857155136,256,28,890,203,0.9014084507042254,0.8142726440988106,0.22338568935427575,0.16775599128540306,0.9014084507042254,0.8255759278171941,0.7566188769578835,0.8330677585018935,0.8741328880346092,0.8565600227741208,0.8709484086152037
FIXED_SOURCE_THRESHOLD,SegFormer_B0,0.2950987857155136,350,43,774,210,0.8905852417302799,0.7865853658536586,0.3113879003558719,0.18373275236020334,0.8905852417302799,0.6649401178442914,0.5283144543934093,0.6720418296411386,0.7420269184123199,0.7275235042438805,0.7403374259485217
FIXED_SOURCE_THRESHOLD,POOLED,0.2950987857155136,1180,130,2259,562,0.9007633587786259,0.8007798652959943,0.3431230008723466,0.1675139191479061,0.9007633587786259,0.6547997766274563,0.5316731096865099,0.6580831323424625,0.7533350561600508,0.705162011296578,0.7446111204829475
NAIVE_UNLABELED_TARGET_QUANTILE,UNet,0.41531424822113006,512,121,530,214,0.8088467614533965,0.7123655913978495,0.491362763915547,0.24328249818445896,0.8088467614533965,0.47388328422088344,0.31008599770823697,0.46051177072817107,0.6438453620332235,0.5314025068717328,0.6050685241753687
NAIVE_UNLABELED_TARGET_QUANTILE,DeepLabV3_R50,0.41531424822113006,217,67,697,396,0.7640845070422535,0.6376944190301921,0.237417943107221,0.33623819898329704,0.7640845070422535,0.8255759278171941,0.7566188769578835,0.8343257479858666,0.8741328880346092,0.8565600227741208,0.8703253602510342
NAIVE_UNLABELED_TARGET_QUANTILE,SegFormer_B0,0.41531424822113006,300,93,613,371,0.7633587786259542,0.6229674796747967,0.32858707557502737,0.3369644153957879,0.7633587786259542,0.6649401178442914,0.5283144543934093,0.6735726642726414,0.7420269184123199,0.7275235042438805,0.7415732131996817
NAIVE_UNLABELED_TARGET_QUANTILE,POOLED,0.41531424822113006,1029,281,1840,981,0.7854961832061069,0.65225097483162,0.3586615545486232,0.3054950375211813,0.7854961832061069,0.6547997766274563,0.5316731096865099,0.6561367276622263,0.7533350561600508,0.705162011296578,0.7389890325420282
ORACLE_TARGET_RECALL90_REFERENCE_ONLY,UNet,0.2953736894513032,574,59,595,149,0.9067930489731437,0.7997311827956989,0.49101796407185627,0.15105301379811184,0.9067930489731437,0.47388328422088344,0.31008599770823697,0.46913980888435525,0.6438453620332235,0.5314025068717328,0.622547526885117
ORACLE_TARGET_RECALL90_REFERENCE_ONLY,DeepLabV3_R50,0.2953736894513032,255,29,889,204,0.897887323943662,0.8133577310155535,0.2229020979020979,0.1692084241103849,0.897887323943662,0.8255759278171941,0.7566188769578835,0.8330530808516075,0.8741328880346092,0.8565600227741208,0.8708855995038661
ORACLE_TARGET_RECALL90_REFERENCE_ONLY,SegFormer_B0,0.2953736894513032,350,43,774,210,0.8905852417302799,0.7865853658536586,0.3113879003558719,0.18373275236020334,0.8905852417302799,0.6649401178442914,0.5283144543934093,0.6720418296411386,0.7420269184123199,0.7275235042438805,0.7403374259485217
ORACLE_TARGET_RECALL90_REFERENCE_ONLY,POOLED,0.2953736894513032,1179,131,2258,563,0.9,0.8004253810705424,0.34303171370381147,0.16799806342290002,0.9,0.6547997766274563,0.5316731096865099,0.6580782397923671,0.7533350561600508,0.705162011296578,0.7445901841125016
