rep,safe_prevented_harm_fraction,random_prevented_harm_fraction,delta_prevented_harm_fraction,safe_mean_slice_deployed_dice,random_mean_slice_deployed_dice,delta_mean_slice_deployed_dice,safe_mean_patient_3d_deployed_dice,random_mean_patient_3d_deployed_dice,delta_mean_patient_3d_deployed_dice
0,0.856592135697764,0.8163454124903623,0.04024672320740175,0.6648295821773385,0.641875113774671,0.02295446840266746,0.7247142698376426,0.7287037258402004,-0.003989456002557734
1,0.8979591836734694,0.8111020408163266,0.08685714285714274,0.6502840619797001,0.6221677127796085,0.02811634920009165,0.7489871186409193,0.7466700457883497,0.002317072852569546
2,0.9120967741935484,0.8408064516129032,0.07129032258064516,0.6622878830939851,0.638201152609412,0.024086730484573105,0.7569403033286264,0.7570669680526413,-0.00012666472401490214
3,0.8985024958402662,0.8196339434276206,0.07886855241264557,0.6682949086486153,0.6418852741340623,0.026409634514553026,0.7510558220554903,0.7511778776094534,-0.00012205555396316292
4,0.896964856230032,0.825079872204473,0.07188498402555898,0.6575423344765704,0.6335131472942559,0.024029187182314504,0.7428125532815464,0.7418029042228812,0.0010096490586651852
5,0.8588537211291702,0.793327630453379,0.0655260906757913,0.6706357047747009,0.6484549663032839,0.022180738471416994,0.77225232239783,0.7747349715240169,-0.0024826491261868977
6,0.9007462686567164,0.8453731343283583,0.05537313432835811,0.6639832199057829,0.6457223312689565,0.0182608886368264,0.75222591217309,0.7556102570783911,-0.003384344905301151
7,0.8911877394636015,0.8352490421455938,0.05593869731800771,0.6635922905309877,0.6403797361559023,0.023212554375085404,0.7527089156510488,0.7517753101774608,0.0009336054735880062
8,0.8873333333333333,0.8405999999999999,0.046733333333333404,0.6527654355768493,0.6337340229388959,0.019031412637953382,0.728700320593286,0.7358376397143991,-0.007137319121113039
9,0.9117056856187291,0.8465551839464883,0.06515050167224079,0.6457414611094701,0.6210987559199131,0.024642705189556913,0.7334548991577152,0.7303371374487304,0.003117761708984812
10,0.8574748257164988,0.8085979860573198,0.048876839659178994,0.6413400497573067,0.6176958169130125,0.02364423284429429,0.7192395856260635,0.7223710216489743,-0.003131436022910772
11,0.892802450229709,0.832312404287902,0.06049004594180707,0.6650135703606138,0.6428543551345393,0.022159215226074558,0.7617905177236424,0.7656038361623149,-0.003813318438672497
12,0.9212717638152914,0.8464042392127176,0.07486752460257384,0.6515633518569917,0.6279164681015091,0.023646883755482517,0.7511067094340044,0.7493506104387128,0.0017560989952916106
13,0.8904802021903959,0.8080033698399328,0.0824768323504631,0.6690207968280137,0.645847472737225,0.02317332409078876,0.7671750067914672,0.7687076459224254,-0.0015326391309581355
14,0.880410858400587,0.8303741746148203,0.050036683785766645,0.6726903275104418,0.654153958946681,0.01853636856376073,0.768572878977901,0.7737779582793418,-0.005205079301440763
15,0.9173728813559322,0.8480225988700564,0.06935028248587582,0.6757612563617886,0.6518275385283654,0.02393371783342324,0.7612120205715882,0.7601557999149853,0.0010562206566029353
16,0.8708971553610503,0.812837345003647,0.05805981035740326,0.6599423705098985,0.6318851651718764,0.02805720533802203,0.7357026165132073,0.7368309762218608,-0.001128359708653437
17,0.9094427244582043,0.8323529411764706,0.07708978328173366,0.652508651111497,0.6246857765218496,0.027822874589647384,0.7379349403663544,0.7351330353033553,0.002801905062999155
18,0.9264497878359265,0.8477369165487978,0.07871287128712867,0.6808237869318068,0.6555188253635347,0.02530496156827211,0.7750447971531638,0.7723839842681015,0.002660812885062258
19,0.9160688665710186,0.8462697274031564,0.06979913916786218,0.6619294253472117,0.6379569343605288,0.02397249098668286,0.7567710537717482,0.7558195857454324,0.0009514680263158493
20,0.9076048329779673,0.830774697938877,0.07683013503909031,0.6607333752365356,0.634922378754878,0.025810996481657633,0.7598682865669841,0.7594148643802867,0.0004534221866974164
21,0.9079147640791476,0.8442922374429223,0.06362252663622536,0.6583621107058603,0.6373191451290949,0.021042965576765327,0.7578765088436669,0.7565336984934823,0.0013428103501845756
22,0.8852459016393442,0.8176424668227946,0.06760343481654962,0.653132353547709,0.628305809810785,0.024826543736924056,0.7532771294175059,0.7572917751144177,-0.004014645696911789
23,0.8971571906354515,0.8149665551839466,0.08219063545150496,0.6717061579356854,0.6455109179512456,0.026195239984439844,0.7582429178299391,0.7566477815425652,0.001595136287373955
24,0.9085545722713865,0.8485250737463126,0.06002949852507389,0.6503215126574902,0.6295958792282017,0.02072563342928846,0.7354238985068045,0.7357282770005098,-0.0003043784937053484
25,0.9059180576631259,0.8432473444613049,0.06267071320182105,0.6680175678071443,0.6441481787189887,0.023869389088155613,0.7577917710272176,0.7594480073322246,-0.0016562363050069973
26,0.910049191848208,0.8335910049191849,0.07645818692902306,0.6515360053398128,0.6261553137778599,0.025380691561952884,0.7567091074107776,0.7608115004668861,-0.004102393056108489
27,0.9003378378378378,0.8070945945945945,0.09324324324324329,0.6603247383596286,0.6348876800699428,0.025437058289685788,0.7608992007624474,0.7597396429882665,0.0011595577741809748
28,0.9228187919463087,0.8691275167785235,0.05369127516778516,0.6612877032770633,0.6393995280059144,0.021888175271148946,0.7267123381345676,0.7240284766448236,0.002683861489743977
29,0.9047945205479452,0.8610958904109589,0.04369863013698627,0.6529346156707345,0.6310047976112194,0.021929818059515105,0.7293619138091244,0.7312565786232018,-0.001894664814077407
30,0.9047261815453863,0.83615903975994,0.06856714178544632,0.6671574227302408,0.6414697797368613,0.025687642993379556,0.7647111378716196,0.7648310972464474,-0.00011995937482778274
31,0.9041916167664671,0.8323353293413174,0.07185628742514971,0.6399748362686307,0.615353329752695,0.024621506515935754,0.7072225866142052,0.7057151683572604,0.0015074182569447814
32,0.9116179615110478,0.8363506771204563,0.0752672843905915,0.6366231365325399,0.6089837989011306,0.027639337631409244,0.7173097560927026,0.7148827891426126,0.002426966950090037
33,0.9074367088607594,0.8439082278481012,0.06352848101265829,0.669747394463597,0.6492515856563968,0.020495808807200144,0.7526670498000968,0.7544986010456277,-0.0018315512455309158
34,0.9005120702267739,0.8372348207754208,0.06327724945135316,0.6609753996889413,0.6396935516786887,0.02128184801025257,0.7587140097416656,0.759845724436049,-0.0011317146943834455
35,0.9185867895545314,0.8544546850998463,0.06413210445468509,0.6508566065384535,0.6291818054997044,0.02167480103874908,0.7540033628517119,0.75383350785702,0.00016985499469190923
36,0.9029391660970608,0.8473000683526999,0.05563909774436093,0.6428955889790775,0.6201490795052798,0.02274650947379775,0.7195684436981334,0.720321980275984,-0.0007535365778505998
37,0.9155332856120257,0.8656406585540444,0.049892627057981365,0.6501750089796444,0.6280162382136109,0.022158770766033564,0.7274849534362513,0.7289160894140959,-0.0014311359778446109
38,0.8699311400153023,0.837566947207345,0.032364192807957215,0.6552831129750732,0.6336341976373406,0.02164891533773261,0.7294448174781365,0.7315991656602568,-0.002154348182120347
39,0.8887134964483031,0.8359116022099448,0.05280189423835835,0.6771689399093803,0.6543039870340328,0.02286495287534751,0.7615349633265445,0.7622014560856469,-0.0006664927591024661
40,0.9286245353159851,0.8550185873605948,0.07360594795539033,0.6413835154429653,0.6172853855150958,0.024098129927869527,0.7236478033154109,0.7237579998997734,-0.00011019658436250968
41,0.9199048374306106,0.8480570975416336,0.07184773988897697,0.6623979262345031,0.6388335516696323,0.023564374564870816,0.7516202077642599,0.7509090032728573,0.0007112044914026061
42,0.9037149355572404,0.8427596664139498,0.060955269143290525,0.6550170827328108,0.6310371166342361,0.023979966098574668,0.7372518812491105,0.7390957760111723,-0.0018438947620618151
43,0.9265536723163842,0.8658898305084746,0.060663841807909624,0.6544821743340152,0.6353219782092921,0.019160196124723083,0.7449472390171481,0.7461186783513,-0.0011714393341518692
44,0.9093774625689519,0.861544523246651,0.04783293932230093,0.6606145056309864,0.6387081677809646,0.02190633785002183,0.7367412692764177,0.737838555923894,-0.0010972866474763254
45,0.8888888888888888,0.8244593586875466,0.06442953020134223,0.6706888434217583,0.6501518252217346,0.020537018200023627,0.7728872112516534,0.7749091418199602,-0.0020219305683067956
46,0.8966763005780347,0.8328034682080926,0.06387283236994212,0.6720513260647213,0.6484130866493588,0.023638239415362472,0.7599167371352884,0.7636760808430616,-0.0037593437077731995
47,0.903968253968254,0.8409523809523808,0.06301587301587319,0.6393353576482227,0.6144309495316548,0.02490440811656791,0.7171672989545556,0.71910534027763,-0.001938041323074402
48,0.911925175370226,0.8344505066250975,0.07747466874512854,0.6298356390585871,0.6042135292022415,0.02562210985634561,0.7144930782794073,0.7116848359564283,0.0028082423229790487
49,0.8762968874700718,0.8076616121308859,0.0686352753391859,0.6640837888633886,0.6384297320586083,0.02565405680478028,0.7275551366598252,0.7253362829289435,0.002218853730881709
50,0.8988464951197871,0.8096716947648626,0.08917480035492453,0.6901071053056331,0.6614527029784025,0.0286544023272306,0.7746487364830628,0.7736687087536477,0.0009800277294150783
51,0.9209164818920916,0.8627494456762749,0.05816703621581676,0.6348442016204019,0.6116932154748904,0.023150986145511476,0.7291896623015737,0.7310336650288249,-0.0018440027272512705
52,0.9001457725947521,0.8303206997084548,0.06982507288629736,0.6464838895515046,0.6230878238672752,0.02339606568422936,0.726047699503236,0.7269367157801092,-0.0008890162768732113
53,0.8874223602484472,0.8389751552795032,0.04844720496894406,0.6828392418641612,0.6639046080551874,0.018934633808973866,0.7642176487567218,0.7693779442697904,-0.0051602955130686246
54,0.8908296943231441,0.8172925764192138,0.07353711790393025,0.6733401621150327,0.6512828752718716,0.022057286843161106,0.7603542551542538,0.7633492600830482,-0.0029950049287943425
55,0.8855421686746988,0.8467620481927712,0.03878012048192758,0.6513821173023058,0.6315547578420914,0.01982735946021441,0.7328263081103743,0.7389874517938586,-0.006161143683484305
56,0.8955765047135605,0.8609862218999276,0.034590282813632967,0.654920994815306,0.6332887555749,0.021632239240405915,0.7289799917404295,0.7350717416013122,-0.006091749860882678
57,0.8991869918699187,0.8212195121951218,0.07796747967479689,0.6510956546002281,0.6266822651376527,0.02441338946257543,0.720349073269067,0.7223735392278197,-0.002024465958752608
58,0.9111457521434139,0.8524551831644581,0.05869056897895575,0.6521736827432475,0.6305771555218704,0.02159652722137706,0.747143530153495,0.746366676941457,0.00077685321203802
59,0.8938589840788476,0.8438210765731615,0.05003790750568604,0.668405770715463,0.6477982879928319,0.020607482722631132,0.7539554335146047,0.7568566519656572,-0.002901218451052512
60,0.9192546583850931,0.8528726708074533,0.0663819875776398,0.655412685362866,0.6329505666612197,0.022462118701646272,0.7520591082560846,0.7539231570849181,-0.0018640488288335089
61,0.9113193943763518,0.8516943042537852,0.05962509012256656,0.6613425633617849,0.6408855148724573,0.02045704848932761,0.7412974674078208,0.7434701472919465,-0.0021726798841257278
62,0.8840989399293286,0.8374558303886926,0.046643109540635996,0.667658948662499,0.6432911481411729,0.024367800521326033,0.7462252316682411,0.7504973035612135,-0.004272071892972407
63,0.8650674662668666,0.7968515742128935,0.06821589205397305,0.6593797620317087,0.6303310100943794,0.029048751937329254,0.710483733284716,0.7158641615004271,-0.005380428215711053
64,0.9045709703287891,0.8267842822774659,0.07778668805132316,0.6867852897420271,0.6614466791244478,0.02533861061757936,0.7698537892147497,0.7671028398105588,0.00275094940419085
65,0.9049586776859504,0.8220661157024793,0.08289256198347106,0.6675743767419801,0.6428591367726937,0.024715239969286373,0.7648253073330092,0.7626960999747563,0.002129207358252949
66,0.9263238679969301,0.8536454336147352,0.0726784343821949,0.6680021122318938,0.6451961997275133,0.022805912504380466,0.7678225366510301,0.7656718549840688,0.002150681666961307
67,0.8865489130434783,0.8400135869565217,0.04653532608695654,0.6537720789387541,0.6301139362581518,0.02365814268060229,0.7304440397048068,0.7313537175747805,-0.0009096778699737573
68,0.8739232576350823,0.8142521534847299,0.05967110415035237,0.6408892630501929,0.6168801066413839,0.024009156408808963,0.735256850295726,0.7370959954226048,-0.0018391451268788828
69,0.9237360754070265,0.8626392459297343,0.061096829477292225,0.6624107021815411,0.6443962546781441,0.01801444750339698,0.7564449124342087,0.7586019809832317,-0.002157068549022978
70,0.9012810851544838,0.8381311228334589,0.06314996232102488,0.6554797294521928,0.634096223622046,0.02138350583014681,0.7324194288858384,0.734878989698687,-0.0024595608128485935
71,0.8822170900692841,0.8236335642802155,0.05858352578906856,0.6653066617766794,0.6405632660660759,0.024743395710603466,0.735394714218275,0.736517762187232,-0.0011230479689570139
72,0.9047202797202797,0.8369755244755245,0.0677447552447552,0.6817040120463371,0.6580013494629758,0.02370266258336129,0.7757861846931484,0.7760902029856716,-0.00030401829252313384
73,0.8933143669985776,0.8236842105263158,0.06963015647226178,0.6626468643220802,0.6350606895695962,0.02758617475248404,0.7525941616513477,0.7554977180125564,-0.002903556361208648
74,0.9107569721115538,0.83800796812749,0.07274900398406381,0.6661266618779006,0.6445229755006708,0.021603686377229758,0.7521776457782964,0.7538338352424266,-0.0016561894641302644
75,0.8836477987421384,0.8251572327044026,0.058490566037735836,0.656100391857074,0.6320741236972789,0.02402626815979514,0.7427182603185869,0.7462725800037825,-0.003554319685195595
76,0.8634111818825194,0.814083510261854,0.049327671620665425,0.6536026895372089,0.6291005947323268,0.02450209480488208,0.7378869391496155,0.7408739025504651,-0.002986963400849696
77,0.907563025210084,0.8496498599439775,0.05791316526610657,0.6525673661264686,0.6327787465048014,0.019788619621667225,0.7303847875561501,0.7325355102322668,-0.002150722676116712
78,0.9044117647058824,0.8277777777777777,0.07663398692810464,0.6698858255900318,0.6446265822869875,0.0252592433030443,0.7616721930335226,0.7615229288138965,0.0001492642196261329
79,0.9145907473309609,0.8419928825622776,0.07259786476868335,0.6567689414712169,0.6323069737706966,0.024461967700520337,0.7444031553293242,0.7434928408902582,0.0009103144390659734
80,0.8819497334348819,0.8140137090632139,0.06793602437166801,0.6810054424771299,0.6558161437988129,0.025189298678316985,0.776199826427133,0.7752466215181296,0.0009532049090034134
81,0.9192221391174271,0.8400149588631264,0.07920718025430074,0.6638116179820498,0.636593907763045,0.027217710219004765,0.7549477333203964,0.7517553514701365,0.00319238185025994
82,0.9351092896174863,0.8532786885245901,0.0818306010928962,0.644484865314522,0.6183380539791171,0.026146811335404863,0.7226912136987053,0.7199697250063982,0.002721488692307039
83,0.901018922852984,0.8531295487627364,0.04788937409024763,0.6649566041582323,0.6434828197390501,0.02147378441918224,0.7579749269776059,0.7600620849122808,-0.0020871579346748437
84,0.9090183559457302,0.8518754988028732,0.05714285714285705,0.6531054263480346,0.6307673736135786,0.022338052734455993,0.7407816364924451,0.7413068619432169,-0.0005252254507718268
85,0.9024734982332155,0.8499646643109541,0.052508833922261466,0.6683237191022381,0.6478784723548575,0.020445246747380574,0.7671675886755288,0.7678835449722493,-0.0007159562967204991
86,0.9147485080988917,0.83614663256607,0.07860187553282172,0.6551192960320313,0.6287417715349912,0.026377524497040117,0.7399784070600364,0.7372042931651052,0.002774113894931207
87,0.8606431852986217,0.7948698315467075,0.06577335375191418,0.6718790447389373,0.6459442019099472,0.025934842828990168,0.7709040097079208,0.7739293050705573,-0.0030252953626365153
88,0.868601986249045,0.8181054239877769,0.050496562261268196,0.6629887399664388,0.6387786848115693,0.024210055154869514,0.7460781557294912,0.7481398729809211,-0.0020617172514298954
89,0.9370257966616085,0.8691198786039454,0.0679059180576631,0.6617554258360386,0.6402239888594196,0.02153143697661908,0.7593201157793584,0.760203933985576,-0.0008838182062175237
90,0.9029850746268657,0.8441044776119403,0.05888059701492543,0.6296966666909822,0.6060582108518732,0.023638455839109063,0.6968301637624259,0.6980981562284823,-0.0012679924660563557
91,0.8918692372170998,0.8398155909471919,0.05205364626990783,0.6560348231620244,0.6338335902657292,0.022201232896295275,0.7249488151382801,0.7282390641828528,-0.0032902490445726462
92,0.9045967042497832,0.8318300086730268,0.07276669557675641,0.6551222834722898,0.630048527454471,0.025073756017818805,0.7345847779410292,0.7341785445304684,0.00040623341056078566
93,0.8857368006304176,0.8267139479905437,0.059022852639873946,0.6485688819558069,0.6241380537906199,0.024430828165186935,0.7413820814284445,0.7438124706995828,-0.0024303892711382558
94,0.9078740157480315,0.8352755905511812,0.07259842519685034,0.6512280649053739,0.628876119464324,0.022351945441049903,0.7653523417059955,0.7659059980328112,-0.0005536563268156991
