sample_id,image_path,gt_path,image_raw_sha256,image_rgb_pixel_sha256,eligible_confirmatory,exclusion_reason,gt_pixels_decoded
NeoPolyp::0081835cf877e004e8bfb905b78a9139,F:\MEDSEG_SAFETTA\data\external\NeoPolyp_raw\extracted\train\train\0081835cf877e004e8bfb905b78a9139.jpeg,F:\MEDSEG_SAFETTA\data\external\NeoPolyp_raw\extracted\train_gt\train_gt\0081835cf877e004e8bfb905b78a9139.jpeg,0e6f8675fdbfae09e31e1a4ae6723759e5d27c469cd5d9cf79681c47cd7ac491,f3521de2382966c8c58426d73bdf984a83db1f4fc7e48edba44bdbb54e7f027e,1,,0
NeoPolyp::00d827b8bcf15050fb9af0ef92846b60,F:\MEDSEG_SAFETTA\data\external\NeoPolyp_raw\extracted\train\train\00d827b8bcf15050fb9af0ef92846b60.jpeg,F:\MEDSEG_SAFETTA\data\external\NeoPolyp_raw\extracted\train_gt\train_gt\00d827b8bcf15050fb9af0ef92846b60.jpeg,010a2f98cd44868c91043792899826e058ae395ee34efbdbeb9df74670e43065,bef61430d2a62a706e779acf53a3ed221f93dbd23f2cd680e5ff426866375070,1,,0
NeoPolyp::00f9b6c911c4aa179344271fa54aa1b2,F:\MEDSEG_SAFETTA\data\external\NeoPolyp_raw\extracted\train\train\00f9b6c911c4aa179344271fa54aa1b2.jpeg,F:\MEDSEG_SAFETTA\data\external\NeoPolyp_raw\extracted\train_gt\train_gt\00f9b6c911c4aa179344271fa54aa1b2.jpeg,ddb16332a78c2c73f4495b7639aab52e21e3c2a489a70db575463cb60cba0381,0a2fefcc484d99325a727dfd8bd98ffe9126ca73a0f8df8ba0c1a70e1c95c771,1,,0
NeoPolyp::00fd197cd955fa095f978455cef3593c,F:\MEDSEG_SAFETTA\data\external\NeoPolyp_raw\extracted\train\train\00fd197cd955fa095f978455cef3593c.jpeg,F:\MEDSEG_SAFETTA\data\external\NeoPolyp_raw\extracted\train_gt\train_gt\00fd197cd955fa095f978455cef3593c.jpeg,fdf8dcc71945652b3568554408bdc0bc055db0520f9a33ba69c66a77050cc447,118f8fac03ffd38832098d49c0e9f5a4875bec0f09f8bbf03c8d16eabcc91ddc,1,,0
NeoPolyp::01c13a3d810b000db55759486b8aa1b8,F:\MEDSEG_SAFETTA\data\external\NeoPolyp_raw\extracted\train\train\01c13a3d810b000db55759486b8aa1b8.jpeg,F:\MEDSEG_SAFETTA\data\external\NeoPolyp_raw\extracted\train_gt\train_gt\01c13a3d810b000db55759486b8aa1b8.jpeg,26f70a82ea59f29e7ba551c2921e6e5b57a1a9afa480b37bd8affd2e07767897,196728d1fb9a260f3ceff9dc4674e0209d59c365a38df533d2fe17182fc24876,1,,0
NeoPolyp::01e80947f9c02314fc58bdb26679bff5,F:\MEDSEG_SAFETTA\data\external\NeoPolyp_raw\extracted\train\train\01e80947f9c02314fc58bdb26679bff5.jpeg,F:\MEDSEG_SAFETTA\data\external\NeoPolyp_raw\extracted\train_gt\train_gt\01e80947f9c02314fc58bdb26679bff5.jpeg,74d31c51876dec65817ebc9433befe59a5e157af7b0e0199dd385a75e0789a39,e5eb219466156a838618373e63a1eb4b1328ff0ce394878cc5733bd68db1b8a4,1,,0
NeoPolyp::01ff069910ea2abe3c84417fda801941,F:\MEDSEG_SAFETTA\data\external\NeoPolyp_raw\extracted\train\train\01ff069910ea2abe3c84417fda801941.jpeg,F:\MEDSEG_SAFETTA\data\external\NeoPolyp_raw\extracted\train_gt\train_gt\01ff069910ea2abe3c84417fda801941.jpeg,0015805b463d3301284c3ea2ad360a6abb4f19466cfdbef36cc59bf60c8655b2,05adab8720293ed29754338c7887a66bb0a8b864f99890c8ac19f6ba865ead88,1,,0
NeoPolyp::02000f9b6c911c4aa179344271fa54aa,F:\MEDSEG_SAFETTA\data\external\NeoPolyp_raw\extracted\train\train\02000f9b6c911c4aa179344271fa54aa.jpeg,F:\MEDSEG_SAFETTA\data\external\NeoPolyp_raw\extracted\train_gt\train_gt\02000f9b6c911c4aa179344271fa54aa.jpeg,9f81f45f11418ab680dd7a0bf9d63bf2aaa93a4e63d9024e854fe0c1d5e6c3c0,6471103fddd95d5dbed35366655f2ce7e757c8de2f96babe698277f930bb65bd,1,,0
NeoPolyp::021bab9fc7330398846f67b5df7cdf3f,F:\MEDSEG_SAFETTA\data\external\NeoPolyp_raw\extracted\train\train\021bab9fc7330398846f67b5df7cdf3f.jpeg,F:\MEDSEG_SAFETTA\data\external\NeoPolyp_raw\extracted\train_gt\train_gt\021bab9fc7330398846f67b5df7cdf3f.jpeg,f23633ba0cd6585970e5b4e7cc1d3117dfb18da9f61c0a85e0a002f2307659ce,dfa048079d7f1c7da4740fee1898923ffeb26ad1ee472f2cbf20a058839a0420,1,,0
NeoPolyp::02345d341253851bc866ebe4d18d5401,F:\MEDSEG_SAFETTA\data\external\NeoPolyp_raw\extracted\train\train\02345d341253851bc866ebe4d18d5401.jpeg,F:\MEDSEG_SAFETTA\data\external\NeoPolyp_raw\extracted\train_gt\train_gt\02345d341253851bc866ebe4d18d5401.jpeg,b78d064e311adda6d3473c092470dca3687739ae44501d17263ea5ea5d041eab,cf590c97c7afce543dd5f4b25ea5a96d1e1d5a310e156c94ad04711d06181a4f,1,,0
