sample_id,model_family,model_state_id,training_seed,checkpoint_sha256,source_dice,a1_dice,delta_dice,adaptation_outcome,harm_label,benefit_label,paot_mrz19_harm_probability,paot_mrz19_benefit_probability,paot_raw19_harm_probability,paot_raw19_benefit_probability
NeoPolyp::0081835cf877e004e8bfb905b78a9139,PraNet,PraNet::20260817,20260817,ef623c0f1207bab02377ec17932db43fe2fd1843dca858cc79ef87ead29b975a,0.0,0.1785056691539878,0.1785056691539878,BENEFIT,0,1,0.6752167641233427,0.14832904186019186,0.667036192937297,0.8762752100659211
NeoPolyp::00d827b8bcf15050fb9af0ef92846b60,PraNet,PraNet::20260817,20260817,ef623c0f1207bab02377ec17932db43fe2fd1843dca858cc79ef87ead29b975a,0.9824632130618827,0.9752338295349756,-0.007229383526907052,NEUTRAL,0,0,0.17048676616792577,0.04773147591727846,0.01242195624955245,0.018956377229757623
NeoPolyp::00f9b6c911c4aa179344271fa54aa1b2,PraNet,PraNet::20260817,20260817,ef623c0f1207bab02377ec17932db43fe2fd1843dca858cc79ef87ead29b975a,0.9750136786430786,0.973366924599604,-0.0016467540434745853,NEUTRAL,0,0,0.20913245478198816,0.059479707277830175,0.01650585861903288,0.047017956287093376
NeoPolyp::00fd197cd955fa095f978455cef3593c,PraNet,PraNet::20260817,20260817,ef623c0f1207bab02377ec17932db43fe2fd1843dca858cc79ef87ead29b975a,0.758715463619268,0.7462644188110027,-0.01245104480826531,NEUTRAL,0,0,0.2894511062052777,0.23732663831067238,0.022335664822308598,0.02287674454446047
NeoPolyp::01c13a3d810b000db55759486b8aa1b8,PraNet,PraNet::20260817,20260817,ef623c0f1207bab02377ec17932db43fe2fd1843dca858cc79ef87ead29b975a,0.0,0.2470998191522209,0.2470998191522209,BENEFIT,0,1,0.5334226190297428,0.1771626645832001,0.6135312843529377,0.8783932371445355
NeoPolyp::01e80947f9c02314fc58bdb26679bff5,PraNet,PraNet::20260817,20260817,ef623c0f1207bab02377ec17932db43fe2fd1843dca858cc79ef87ead29b975a,0.9745602165087957,0.9760484454085322,0.0014882288997365434,NEUTRAL,0,0,0.11721933278422186,0.016545585469775605,0.005650599307291316,0.006487835540503956
NeoPolyp::01ff069910ea2abe3c84417fda801941,PraNet,PraNet::20260817,20260817,ef623c0f1207bab02377ec17932db43fe2fd1843dca858cc79ef87ead29b975a,0.9774564015312633,0.13167598429879862,-0.8457804172324648,HARM,1,0,0.6794785647367282,0.4610966339257462,0.2342896882902003,0.6037460024316965
NeoPolyp::02000f9b6c911c4aa179344271fa54aa,PraNet,PraNet::20260817,20260817,ef623c0f1207bab02377ec17932db43fe2fd1843dca858cc79ef87ead29b975a,0.9754475202973687,0.9439954895696298,-0.031452030727738944,HARM,1,0,0.3142284622179121,0.10384997245188686,0.02239061569231127,0.08862557902828797
NeoPolyp::021bab9fc7330398846f67b5df7cdf3f,PraNet,PraNet::20260817,20260817,ef623c0f1207bab02377ec17932db43fe2fd1843dca858cc79ef87ead29b975a,0.9786033886803656,0.9845785862655001,0.00597519758513454,NEUTRAL,0,0,0.18776057187363682,0.07647792574777508,0.0063709289968283435,0.006683474009453826
NeoPolyp::02345d341253851bc866ebe4d18d5401,PraNet,PraNet::20260817,20260817,ef623c0f1207bab02377ec17932db43fe2fd1843dca858cc79ef87ead29b975a,0.9779050736497545,0.959298190152533,-0.018606883497221505,NEUTRAL,0,0,0.2905078694471958,0.22395031515018296,0.06502733528535541,0.12277280611959349
NeoPolyp::025ba0e3b6d0bf0b5633059989805234,PraNet,PraNet::20260817,20260817,ef623c0f1207bab02377ec17932db43fe2fd1843dca858cc79ef87ead29b975a,0.9566924303766409,0.38583255768382896,-0.5708598726928119,HARM,1,0,0.7838784893778644,0.26373775121220205,0.09277059429495937,0.21427177551002852
NeoPolyp::02b296cc5cfd263f1f90be2879923502,PraNet,PraNet::20260817,20260817,ef623c0f1207bab02377ec17932db43fe2fd1843dca858cc79ef87ead29b975a,0.0,0.0,0.0,NEUTRAL,0,0,0.969110667928946,0.6770493185736767,0.6435673705164189,0.38064606465082823
NeoPolyp::0317371a966bf4b3466463a3c64db170,PraNet,PraNet::20260817,20260817,ef623c0f1207bab02377ec17932db43fe2fd1843dca858cc79ef87ead29b975a,0.939744731374295,0.13752854605430093,-0.8022161853199941,HARM,1,0,0.45890349395828123,0.3339892722428719,0.11845302160895106,0.44456175767530637
NeoPolyp::033c03b0af70cc0f6d32b726342865f6,PraNet,PraNet::20260817,20260817,ef623c0f1207bab02377ec17932db43fe2fd1843dca858cc79ef87ead29b975a,0.8910891089108911,0.19981482297958644,-0.6912742859313047,HARM,1,0,0.5016584909706928,0.4104027520983012,0.1657702471321877,0.542775680789651
NeoPolyp::0351267e98bd886544a2a98ee309ce76,PraNet,PraNet::20260817,20260817,ef623c0f1207bab02377ec17932db43fe2fd1843dca858cc79ef87ead29b975a,0.0,0.0004132658332472363,0.0004132658332472363,NEUTRAL,0,0,0.41055704259140446,0.23187045316024466,0.5718025549364374,0.8691605204238477
NeoPolyp::03983064a3eb4d49033c03b0af70cc0f,PraNet,PraNet::20260817,20260817,ef623c0f1207bab02377ec17932db43fe2fd1843dca858cc79ef87ead29b975a,0.8951196767174386,0.8747564884057061,-0.02036318831173256,HARM,1,0,0.29553936089657507,0.2144290821330461,0.06361898618562518,0.07499250763439835
NeoPolyp::03d2cbbcfa4baf3866269959350e7998,PraNet,PraNet::20260817,20260817,ef623c0f1207bab02377ec17932db43fe2fd1843dca858cc79ef87ead29b975a,0.931247963506028,0.4122753886533414,-0.5189725748526866,HARM,1,0,0.5593537121605258,0.584785269958179,0.22584072546029837,0.44616660692172416
NeoPolyp::03f909df7cd066b37f538abe9de67869,PraNet,PraNet::20260817,20260817,ef623c0f1207bab02377ec17932db43fe2fd1843dca858cc79ef87ead29b975a,0.9744768055641806,0.9640574116511881,-0.010419393912992514,NEUTRAL,0,0,0.19529936041725812,0.07851260872918985,0.023460516217533377,0.03913166635657319
NeoPolyp::040781d54ffd6a8ee924dbd70f618d52,PraNet,PraNet::20260817,20260817,ef623c0f1207bab02377ec17932db43fe2fd1843dca858cc79ef87ead29b975a,0.9759408833132841,0.9780973081424511,0.002156424829167003,NEUTRAL,0,0,0.19546731635676626,0.118410364369893,0.0538341781676896,0.06685249799144803
NeoPolyp::04414eaa922bca73d5379c7c851a5082,PraNet,PraNet::20260817,20260817,ef623c0f1207bab02377ec17932db43fe2fd1843dca858cc79ef87ead29b975a,0.9258269981508116,0.2741583918624364,-0.6516686062883752,HARM,1,0,0.6321129329626365,0.4379541047371706,0.1782328294106079,0.37179580972517423
NeoPolyp::0449922d6157edc3d82df22c41b503dc,PraNet,PraNet::20260817,20260817,ef623c0f1207bab02377ec17932db43fe2fd1843dca858cc79ef87ead29b975a,0.9558847468663519,0.9227752639517346,-0.03310948291461735,HARM,1,0,0.3970660415142693,0.36782375840703674,0.1341330673528761,0.3092399047415654
NeoPolyp::0449ad43fe2cd066b9fdbc3bbc04a3af,PraNet,PraNet::20260817,20260817,ef623c0f1207bab02377ec17932db43fe2fd1843dca858cc79ef87ead29b975a,0.8940373563218391,0.9014680597804523,0.007430703458613186,NEUTRAL,0,0,0.18152035594689223,0.04273431891200364,0.015213925529438703,0.009376103057721637
NeoPolyp::047dc0cbb58aa032554b5eb4fcf0130a,PraNet,PraNet::20260817,20260817,ef623c0f1207bab02377ec17932db43fe2fd1843dca858cc79ef87ead29b975a,0.9582876712328767,0.9296403255447624,-0.028647345688114334,HARM,1,0,0.4514182069787865,0.5447091495346773,0.04418030673742849,0.09580220772363861
NeoPolyp::04801b37705c1e555525d4f09ce7270b,PraNet,PraNet::20260817,20260817,ef623c0f1207bab02377ec17932db43fe2fd1843dca858cc79ef87ead29b975a,0.941457423580786,0.9704679691049523,0.029010545524166265,BENEFIT,0,1,0.39742249391433526,0.46806454997413793,0.056334159649034,0.04648462827471031
NeoPolyp::0496b83ef461c2a337948a41964c1d4f,PraNet,PraNet::20260817,20260817,ef623c0f1207bab02377ec17932db43fe2fd1843dca858cc79ef87ead29b975a,0.0,0.0024769505985963946,0.0024769505985963946,NEUTRAL,0,0,0.28578317568854494,0.24483845205808955,0.5090364693505458,0.8762364536556099
NeoPolyp::04c34a359bbb402345d341253851bc86,PraNet,PraNet::20260817,20260817,ef623c0f1207bab02377ec17932db43fe2fd1843dca858cc79ef87ead29b975a,0.9259675278259981,0.5256507182201101,-0.400316809605888,HARM,1,0,0.41566671384235426,0.2241203080126673,0.09833124125424503,0.13302486758147206
NeoPolyp::04ccdc265a0b0a1230b118fa8625605d,PraNet,PraNet::20260817,20260817,ef623c0f1207bab02377ec17932db43fe2fd1843dca858cc79ef87ead29b975a,0.9764985476630579,0.9765003931161003,1.8454530423817062e-06,NEUTRAL,0,0,0.19288178117988128,0.08494043397194252,0.020584447950295546,0.0805842145127848
NeoPolyp::04f234b701fc691ffa02f6068b683019,PraNet,PraNet::20260817,20260817,ef623c0f1207bab02377ec17932db43fe2fd1843dca858cc79ef87ead29b975a,0.9213204269049392,0.24039893789262354,-0.6809214890123156,HARM,1,0,0.44265106443470714,0.5558071617881856,0.31469343898829033,0.3971640399119641
NeoPolyp::051fc90e85d064f787d4be168d951058,PraNet,PraNet::20260817,20260817,ef623c0f1207bab02377ec17932db43fe2fd1843dca858cc79ef87ead29b975a,0.9185867895545314,0.22026069060141779,-0.6983260989531137,HARM,1,0,0.4409066940909264,0.32360962926402687,0.16353299238387836,0.3001745784978987
NeoPolyp::052600f1f93e952886d1697f8af9b550,PraNet,PraNet::20260817,20260817,ef623c0f1207bab02377ec17932db43fe2fd1843dca858cc79ef87ead29b975a,0.9033149171270718,0.8446443172526574,-0.058670599874414364,HARM,1,0,0.45284799891844296,0.2269481717735542,0.12865767117476518,0.14846437710917204
NeoPolyp::0528810e9d05be942fd5dd0902e0db22,PraNet,PraNet::20260817,20260817,ef623c0f1207bab02377ec17932db43fe2fd1843dca858cc79ef87ead29b975a,0.9196412715325875,0.9162869418044526,-0.003354329728134875,NEUTRAL,0,0,0.28045130190068596,0.11558064727831042,0.03219546603491803,0.012730147771908866
NeoPolyp::054d694539ef2424a9218697283baa36,PraNet,PraNet::20260817,20260817,ef623c0f1207bab02377ec17932db43fe2fd1843dca858cc79ef87ead29b975a,0.9107806691449815,0.14575481685369468,-0.7650258522912867,HARM,1,0,0.8132391600322845,0.21497774920936413,0.25041871218039463,0.26547627422675757
