sample_id,model_family,model_state_id,training_seed,checkpoint_sha256,state_row_index,source_foreground_pixels_manifest,source_prediction_npz,morph_fg_fraction,morph_boundary_density,morph_component_count_8,morph_largest_component_ratio,morph_largest_component_extent,morph_largest_component_eccentricity,morph_largest_component_circularity,morph_largest_component_perimeter_pixels,morph_largest_component_perimeter_area_ratio,morph_hole_count_4,morph_euler_number_8_4,harm_label,adaptation_outcome
NeoPolyp::0081835cf877e004e8bfb905b78a9139,DeepLabV3-R50,DeepLabV3-R50::20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,0,2291,F:\MEDSEG_SAFETTA\outputs\Q1_R05D3_neopolyp_source_a1_prediction_lock_v1_fix1\state_predictions\deeplabv3_r50_seed20260817_predictions.npz,0.01849012138429752,0.0009388759388759388,1.0,1.0,0.7536184210526315,0.8591707432406648,0.5348832319689518,232.0,0.10126582278481013,0.0,1.0,1,HARM
NeoPolyp::00d827b8bcf15050fb9af0ef92846b60,DeepLabV3-R50,DeepLabV3-R50::20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,1,7395,F:\MEDSEG_SAFETTA\outputs\Q1_R05D3_neopolyp_source_a1_prediction_lock_v1_fix1\state_predictions\deeplabv3_r50_seed20260817_predictions.npz,0.05968330320247934,0.0015863765863765862,1.0,1.0,0.7798165137614679,0.683867438556578,0.6047500435572813,392.0,0.053008789722785665,0.0,1.0,0,NEUTRAL
NeoPolyp::00f9b6c911c4aa179344271fa54aa1b2,DeepLabV3-R50,DeepLabV3-R50::20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,2,5388,F:\MEDSEG_SAFETTA\outputs\Q1_R05D3_neopolyp_source_a1_prediction_lock_v1_fix1\state_predictions\deeplabv3_r50_seed20260817_predictions.npz,0.04348527892561983,0.0013759388759388758,1.0,1.0,0.7697142857142857,0.733829529878436,0.5857059244824154,340.0,0.06310319227913883,0.0,1.0,0,NEUTRAL
NeoPolyp::00fd197cd955fa095f978455cef3593c,DeepLabV3-R50,DeepLabV3-R50::20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,3,12008,F:\MEDSEG_SAFETTA\outputs\Q1_R05D3_neopolyp_source_a1_prediction_lock_v1_fix1\state_predictions\deeplabv3_r50_seed20260817_predictions.npz,0.09691373966942149,0.0026871276871276873,1.0,1.0,0.607047166472878,0.6359984534019011,0.3422507310958252,664.0,0.0552964690206529,1.0,0.0,0,NEUTRAL
NeoPolyp::01c13a3d810b000db55759486b8aa1b8,DeepLabV3-R50,DeepLabV3-R50::20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,4,0,F:\MEDSEG_SAFETTA\outputs\Q1_R05D3_neopolyp_source_a1_prediction_lock_v1_fix1\state_predictions\deeplabv3_r50_seed20260817_predictions.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,BENEFIT
NeoPolyp::01e80947f9c02314fc58bdb26679bff5,DeepLabV3-R50,DeepLabV3-R50::20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,5,11020,F:\MEDSEG_SAFETTA\outputs\Q1_R05D3_neopolyp_source_a1_prediction_lock_v1_fix1\state_predictions\deeplabv3_r50_seed20260817_predictions.npz,0.08893982438016529,0.0019425019425019425,1.0,1.0,0.7730078563411896,0.7020165189285809,0.6010477611555473,480.0,0.043557168784029036,0.0,1.0,0,NEUTRAL
NeoPolyp::01ff069910ea2abe3c84417fda801941,DeepLabV3-R50,DeepLabV3-R50::20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,6,1268,F:\MEDSEG_SAFETTA\outputs\Q1_R05D3_neopolyp_source_a1_prediction_lock_v1_fix1\state_predictions\deeplabv3_r50_seed20260817_predictions.npz,0.010233729338842975,0.0006879694379694379,1.0,1.0,0.7312572087658593,0.7538555027397167,0.5513549459864163,170.0,0.13406940063091483,0.0,1.0,1,HARM
NeoPolyp::02000f9b6c911c4aa179344271fa54aa,DeepLabV3-R50,DeepLabV3-R50::20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,7,5151,F:\MEDSEG_SAFETTA\outputs\Q1_R05D3_neopolyp_source_a1_prediction_lock_v1_fix1\state_predictions\deeplabv3_r50_seed20260817_predictions.npz,0.04157250774793388,0.0014164076664076664,1.0,1.0,0.7160133444537115,0.7892492832386394,0.5284030615066456,350.0,0.06794797126771501,0.0,1.0,0,NEUTRAL
NeoPolyp::021bab9fc7330398846f67b5df7cdf3f,DeepLabV3-R50,DeepLabV3-R50::20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,8,24585,F:\MEDSEG_SAFETTA\outputs\Q1_R05D3_neopolyp_source_a1_prediction_lock_v1_fix1\state_predictions\deeplabv3_r50_seed20260817_predictions.npz,0.19841974431818182,0.0029946904946904947,1.0,1.0,0.75,0.733210291670122,0.5641786368773196,740.0,0.030099654260728085,0.0,1.0,0,NEUTRAL
NeoPolyp::02345d341253851bc866ebe4d18d5401,DeepLabV3-R50,DeepLabV3-R50::20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,9,6285,F:\MEDSEG_SAFETTA\outputs\Q1_R05D3_neopolyp_source_a1_prediction_lock_v1_fix1\state_predictions\deeplabv3_r50_seed20260817_predictions.npz,0.050724754648760334,0.0016592204092204092,1.0,1.0,0.6427037529399734,0.9000248158673283,0.4698372356409721,410.0,0.06523468575974542,0.0,1.0,0,NEUTRAL
