comparison,metric,bootstrap_mean_delta,ci95_low,ci95_high,favorable_bootstrap_fraction
PRIMARY_vs_M2,AUROC,0.020589328536906565,0.009963610829965589,0.031081933034612704,1.0
PRIMARY_vs_M2,AUPRC,0.05224918206230102,0.03180347700336954,0.07318765333155923,1.0
PRIMARY_vs_M2,Recall,-0.0029929578484519173,-0.017285285183185096,0.011516855213272755,0.343
PRIMARY_vs_M2,FPR,-0.08377097054663205,-0.1154702137271395,-0.05201099661290487,1.0
PRIMARY_vs_M2,PPV1pct,0.0044224996513628125,0.003005061535247593,0.005966442090195264,1.0
PRIMARY_vs_M2,OracleR90FPR,-0.095425428977048,-0.1374791674126971,-0.05046410994004222,1.0
COND_vs_M2,AUROC,0.019519534132002633,0.008821868284691208,0.030219230126843112,0.9995
COND_vs_M2,AUPRC,0.05080432761072761,0.029910246465427063,0.07241185205954556,1.0
COND_vs_M2,Recall,-0.0022659637401835834,-0.017187949576108117,0.01287366971118376,0.385
COND_vs_M2,FPR,-0.08005707841709898,-0.11303533480584366,-0.04733637905064613,1.0
COND_vs_M2,PPV1pct,0.004255895624225809,0.002867598767625286,0.00576198414222517,1.0
COND_vs_M2,OracleR90FPR,-0.09140501101343687,-0.13434952585813523,-0.046166321550679144,1.0
PRIMARY_vs_COND,AUROC,0.0010697944049039298,-0.0004135427506112593,0.002328250539351458,0.9355
PRIMARY_vs_COND,AUPRC,0.0014448544515734047,-4.775415420358863e-05,0.0029425897780112425,0.9705
PRIMARY_vs_COND,Recall,-0.0007269941082683335,-0.003255502358906559,0.001509067689043716,0.2845
PRIMARY_vs_COND,FPR,-0.003713892129533064,-0.007499700906800551,-2.7223076203608636e-05,0.976
PRIMARY_vs_COND,PPV1pct,0.00016660402713700265,-7.822181799030675e-05,0.00041035621981014644,0.9015
PRIMARY_vs_COND,OracleR90FPR,-0.004020417963611126,-0.010491649316514876,0.0031076872535884927,0.8775
