external_case_id,center,sample_id,image_path,gt_path,image_sha256,gt_sha256,pair_key,readable,image_width,image_height,image_mode,gt_width,gt_height,gt_mode,same_size,error,exact_duplicate_of_neopolyp,duplicate_within_polypgen_static
polypgen_static_0000,C1,polypgen_c1_100h0050,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\images_C1\100H0050.jpg,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\masks_C1\100H0050_mask.jpg,73f69b752e70879f130805d608babf39a5ae8e4003fd83d7425bfd2a2a764ff1,0190c078e7cbdbc52712f742f6c782c0e5579edfac2505e46b7f09aee7395cac,100h0050,True,1350,1080,RGB,1350,1080,RGB,True,,False,False
polypgen_static_0001,C1,polypgen_c1_100s0001,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\images_C1\100S0001.jpg,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\masks_C1\100S0001_mask.jpg,b40e5bff943dff959e0a3cbc95d4b18ee60ab5a97eb77e3bd0de05e21e162f7c,3cbcf072b4105f1035686cdd26b80ad38868837fa069d50beaa2ca60dbf6ecac,100s0001,True,628,513,RGB,628,513,L,True,,False,False
polypgen_static_0002,C1,polypgen_c1_100s0003,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\images_C1\100S0003.jpg,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\masks_C1\100S0003_mask.jpg,cb856467ba22757299d960cd1432f51c863a81eeea75280b8aa57c126c9e9751,d406714887bfa85cd35d174af5d2d92efbebfbe6e0e5cb7209415300d6ada7f7,100s0003,True,628,513,RGB,628,513,RGB,True,,False,False
polypgen_static_0003,C1,polypgen_c1_102olcv1_100h0006,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\images_C1\102OLCV1_100H0006.jpg,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\masks_C1\102OLCV1_100H0006_mask.jpg,45d9f3c6bea0008082599131a1335f2e35d12bc3bcfb82528773802be1a6b505,3a9634a211a50e4c33fdb52846f330686dfcf7c1010cdf34eae837621c52f085,102olcv1_100h0006,True,1350,1080,RGB,1350,1080,RGB,True,,False,False
polypgen_static_0004,C1,polypgen_c1_104olcv1_100h0002,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\images_C1\104OLCV1_100H0002.jpg,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\masks_C1\104OLCV1_100H0002_mask.jpg,c556ed78235fc0b9136a396f93d7235e021d21e1ef710fa79c62581e3ae5f154,888d9f10560a10bc11e372d8a3a0ea5ce5c6fe4169c0aa615c70b423513fbdb7,104olcv1_100h0002,True,1350,1080,RGB,1350,1080,RGB,True,,False,False
polypgen_static_0005,C1,polypgen_c1_106olcv1_100h0012,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\images_C1\106OLCV1_100H0012.jpg,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\masks_C1\106OLCV1_100H0012_mask.jpg,f88373e2cc40f6db206a2dc766807f1bdb52cc90b1c11d98cb054d66834f22fb,7febd2d6ca7b5c56bc61571dc5c71c37fdef8e4fd2970dc4391aa7e8ead031a0,106olcv1_100h0012,True,1350,1080,RGB,1350,1080,RGB,True,,False,False
polypgen_static_0006,C1,polypgen_c1_106olcv1_100h0014,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\images_C1\106OLCV1_100H0014.jpg,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\masks_C1\106OLCV1_100H0014_mask.jpg,8b1038a45317444379b9dadeb969b125add485515787292b32da135900124ef2,c53c0f1f9b631b1e75cd74d968a12f41110b629f6c762c67c2b2fdb6e87610a3,106olcv1_100h0014,True,1350,1080,RGB,1350,1080,RGB,True,,False,False
polypgen_static_0007,C1,polypgen_c1_117olcv1_100h0010,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\images_C1\117OLCV1_100H0010.jpg,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\masks_C1\117OLCV1_100H0010_mask.jpg,f5e4371246fca48799d1d8ec1638be9cc096ae9fe90ca4e7c67a2a6e6aea6b67,f79b7181b62a55e037020ec71037fd6aacf6115ed7ace07742ea876ab2286674,117olcv1_100h0010,True,1350,1080,RGB,1350,1080,RGB,True,,False,False
polypgen_static_0008,C1,polypgen_c1_123olcv1_100h0004,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\images_C1\123OLCV1_100H0004.jpg,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\masks_C1\123OLCV1_100H0004_mask.jpg,19194314e99c1f0f3e4c90bdbb290814aa6215ba27c6e73cc229199cdaab790c,5012285743190a0c093f51a81613106061bb10ecea81f739c5dce7678438f763,123olcv1_100h0004,True,1232,1048,RGB,1232,1048,RGB,True,,False,False
polypgen_static_0009,C1,polypgen_c1_124olcv1_100h0004,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\images_C1\124OLCV1_100H0004.jpg,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\masks_C1\124OLCV1_100H0004_mask.jpg,adb7d7ee5eaa9a8ad9c3218a33d39bc846fe9719b209c1dc7fb088219db286a6,27fb4c8a8980f61d7596ef2b86244cb4b042e73aeac4083994a32ddf332b3097,124olcv1_100h0004,True,1350,1080,RGB,1350,1080,RGB,True,,False,False
