sample_id,model_state_id,state_row_index,source_dice,a1_dice,delta_dice,adaptation_outcome,harm_label,benefit_label,frozen_safety_probability,frozen_operating_threshold,frozen_risk_flag,center,model_family,training_seed,checkpoint_sha256
polypgen_static_0000,DeepLabV3-R50::20260817,0,0.6995040191551223,0.5997133986147599,-0.09979062054036236,HARM,1,0,0.7477879373272908,0.300584763193734,1,C1,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2
polypgen_static_0001,DeepLabV3-R50::20260817,1,0.0,0.0,0.0,NEUTRAL,0,0,0.3835322282400336,0.300584763193734,1,C1,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2
polypgen_static_0002,DeepLabV3-R50::20260817,2,0.0,0.4845736043451481,0.4845736043451481,BENEFIT,0,1,0.0317609628792643,0.300584763193734,0,C1,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2
polypgen_static_0003,DeepLabV3-R50::20260817,3,0.8374943937808342,0.712589559877175,-0.12490483390365925,HARM,1,0,0.4790982002458015,0.300584763193734,1,C1,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2
polypgen_static_0004,DeepLabV3-R50::20260817,4,0.9545789861945411,0.9563947423325684,0.0018157561380273135,NEUTRAL,0,0,0.6264150809026469,0.300584763193734,1,C1,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2
polypgen_static_0005,DeepLabV3-R50::20260817,5,0.8252280146737119,0.8114015731678824,-0.013826441505829457,NEUTRAL,0,0,0.652020690073522,0.300584763193734,1,C1,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2
polypgen_static_0006,DeepLabV3-R50::20260817,6,0.9646932474157605,0.9430024781531238,-0.02169076926263669,HARM,1,0,0.2769027448457036,0.300584763193734,0,C1,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2
polypgen_static_0007,DeepLabV3-R50::20260817,7,0.6836592178770949,0.685823754789272,0.0021645369121771063,NEUTRAL,0,0,0.9046945119684434,0.300584763193734,1,C1,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2
polypgen_static_0008,DeepLabV3-R50::20260817,8,0.9129385557824392,0.8912048574924102,-0.021733698290029024,HARM,1,0,0.2917960274023187,0.300584763193734,0,C1,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2
polypgen_static_0009,DeepLabV3-R50::20260817,9,0.0,0.01110276316887887,0.01110276316887887,NEUTRAL,0,0,0.0302063135744082,0.300584763193734,0,C1,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2
polypgen_static_0010,DeepLabV3-R50::20260817,10,0.7454495311638168,0.707152259763054,-0.03829727140076289,HARM,1,0,0.4765316744064485,0.300584763193734,1,C1,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2
polypgen_static_0011,DeepLabV3-R50::20260817,11,0.8975288303130148,0.4409507172727754,-0.4565781130402394,HARM,1,0,0.6395583968093234,0.300584763193734,1,C1,DeepLabV3-R50,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2
