level,group,metric,bootstrap_resamples_requested,bootstrap_resamples_valid,bootstrap_seed,cluster,center_stratified,ci_low_2p5,bootstrap_median,ci_high_97p5
PRIMARY_MACRO_FAMILY,MACRO_3_FAMILIES,auroc,2000,2000,20260826,sample_id,YES,0.6472292143774919,0.6674449527710328,0.6874889090596865
PRIMARY_MACRO_FAMILY,MACRO_3_FAMILIES,auprc,2000,2000,20260826,sample_id,YES,0.49758841064180204,0.525663809869797,0.5532063586014212
PRIMARY_MACRO_FAMILY,MACRO_3_FAMILIES,recall,2000,2000,20260826,sample_id,YES,0.6702697129041151,0.695946925372308,0.722279269327517
PRIMARY_MACRO_FAMILY,MACRO_3_FAMILIES,fpr,2000,2000,20260826,sample_id,YES,0.4213445814227445,0.4439385687215909,0.46813597716789435
PRIMARY_MACRO_FAMILY,MACRO_3_FAMILIES,empirical_ppv,2000,2000,20260826,sample_id,YES,0.42570122301427926,0.4442828048726575,0.46300600979888173
PRIMARY_MACRO_FAMILY,MACRO_3_FAMILIES,ppv_at_1pct,2000,2000,20260826,sample_id,YES,0.015179693043395236,0.01610848569961327,0.01709717798197451
SECONDARY_POOLED,ALL_ROWS,auroc,2000,2000,20260826,sample_id,YES,0.6338321183100518,0.6532407967884302,0.6728972357044144
SECONDARY_POOLED,ALL_ROWS,auprc,2000,2000,20260826,sample_id,YES,0.49327512070299195,0.5208066775527241,0.5479378667661116
SECONDARY_POOLED,ALL_ROWS,recall,2000,2000,20260826,sample_id,YES,0.6628038719044806,0.688256969763226,0.7143505117058949
SECONDARY_POOLED,ALL_ROWS,fpr,2000,2000,20260826,sample_id,YES,0.43508188575691853,0.4586014489223186,0.48315336603685377
SECONDARY_POOLED,ALL_ROWS,empirical_ppv,2000,2000,20260826,sample_id,YES,0.41771357354188615,0.43649122387824946,0.45553208828559133
SECONDARY_POOLED,ALL_ROWS,ppv_at_1pct,2000,2000,20260826,sample_id,YES,0.014159413410541088,0.014931122630068698,0.015752327586211364
SECONDARY_FAMILY,DeepLabV3-R50,auroc,2000,2000,20260826,sample_id,YES,0.5902053142520757,0.6156064230517643,0.6429742817405982
SECONDARY_FAMILY,DeepLabV3-R50,auprc,2000,2000,20260826,sample_id,YES,0.4529422859447947,0.4911161269829789,0.5284017977179385
SECONDARY_FAMILY,DeepLabV3-R50,recall,2000,2000,20260826,sample_id,YES,0.6086617991706347,0.641297335203366,0.6761041549382356
SECONDARY_FAMILY,DeepLabV3-R50,fpr,2000,2000,20260826,sample_id,YES,0.4381223396331079,0.4635358317204861,0.490981826469995
SECONDARY_FAMILY,DeepLabV3-R50,empirical_ppv,2000,2000,20260826,sample_id,YES,0.3786284192507031,0.40486584454163943,0.43273975720043417
SECONDARY_FAMILY,DeepLabV3-R50,ppv_at_1pct,2000,2000,20260826,sample_id,YES,0.012802098742636077,0.013778632229138962,0.014841186491230807
SECONDARY_FAMILY,PraNet,auroc,2000,2000,20260826,sample_id,YES,0.7056052012208602,0.7261382343186051,0.7465698465049946
SECONDARY_FAMILY,PraNet,auprc,2000,2000,20260826,sample_id,YES,0.7135262241151431,0.7413684265722651,0.7676443909323293
SECONDARY_FAMILY,PraNet,recall,2000,2000,20260826,sample_id,YES,0.6669540663773206,0.6931595469400951,0.7200651150690437
SECONDARY_FAMILY,PraNet,fpr,2000,2000,20260826,sample_id,YES,0.31002336644430306,0.335326835807207,0.36184631019797886
SECONDARY_FAMILY,PraNet,empirical_ppv,2000,2000,20260826,sample_id,YES,0.6390329287512189,0.6645765184466252,0.6899515694107
SECONDARY_FAMILY,PraNet,ppv_at_1pct,2000,2000,20260826,sample_id,YES,0.01884645034512046,0.020455663370730306,0.022200396931361503
SECONDARY_FAMILY,SegFormer-B0,auroc,2000,2000,20260826,sample_id,YES,0.6321141090759662,0.6593973234253595,0.6864400913367764
SECONDARY_FAMILY,SegFormer-B0,auprc,2000,2000,20260826,sample_id,YES,0.30417425473283477,0.3441750375850647,0.38412205853135734
SECONDARY_FAMILY,SegFormer-B0,recall,2000,2000,20260826,sample_id,YES,0.7177929605205139,0.7539936102236422,0.7883793016194331
SECONDARY_FAMILY,SegFormer-B0,fpr,2000,2000,20260826,sample_id,YES,0.5062455998067366,0.5330991623885436,0.5598163117543108
SECONDARY_FAMILY,SegFormer-B0,empirical_ppv,2000,2000,20260826,sample_id,YES,0.24134089383270993,0.2629407241534811,0.28501621062207244
SECONDARY_FAMILY,SegFormer-B0,ppv_at_1pct,2000,2000,20260826,sample_id,YES,0.013265859191466995,0.014095099366062902,0.015012914744920128
