pair_key,dataset,visibility,clip_id,physical_case_id,frame_index,frame_member,gt_member,frame_size,gt_size,external_case_id,cluster_id,sampling_rank_within_case,sampling_hash,source_split_label,precontamination_status
testharddataset/unseen/case10_2/case_m_20181113100307_0u62372111373406_1_005_001-1_a26_ayy_image0123,TestHardDataset,Unseen,case10_2,case10,123,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/Frame/case10_2/case_M_20181113100307_0U62372111373406_1_005_001-1_a26_ayy_image0123.jpg,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/GT/case10_2/case_M_20181113100307_0U62372111373406_1_005_001-1_a26_ayy_image0123.png,414030,4048,SUNSEG_case10,case10,1,001b3d4a5a2037a915df8f3ad03d5dba9af61878afb3e2d0556c4f4216777193,Hard-Unseen,SELECTED_PENDING_CONTAMINATION
testharddataset/unseen/case10_1/case_m_20181113100307_0u62372111373406_1_005_001-1_a15_ayy_image0023,TestHardDataset,Unseen,case10_1,case10,23,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/Frame/case10_1/case_M_20181113100307_0U62372111373406_1_005_001-1_a15_ayy_image0023.jpg,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/GT/case10_1/case_M_20181113100307_0U62372111373406_1_005_001-1_a15_ayy_image0023.png,274071,4817,SUNSEG_case10,case10,2,0132e5bc62431308a194977c22415665f6441225929baf11d64d941142f785c2,Hard-Unseen,SELECTED_PENDING_CONTAMINATION
testharddataset/unseen/case10_1/case_m_20181113100307_0u62372111373406_1_005_001-1_a23_ayy_image0013,TestHardDataset,Unseen,case10_1,case10,13,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/Frame/case10_1/case_M_20181113100307_0U62372111373406_1_005_001-1_a23_ayy_image0013.jpg,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/GT/case10_1/case_M_20181113100307_0U62372111373406_1_005_001-1_a23_ayy_image0013.png,331554,3906,SUNSEG_case10,case10,3,01464dd6a46f9dc0b14e8f7074b25c6a2b040fa30dca44c072fb50a00cdb3d3d,Hard-Unseen,SELECTED_PENDING_CONTAMINATION
testharddataset/unseen/case10_1/case_m_20181113100307_0u62372111373406_1_005_001-1_a15_ayy_image0109,TestHardDataset,Unseen,case10_1,case10,109,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/Frame/case10_1/case_M_20181113100307_0U62372111373406_1_005_001-1_a15_ayy_image0109.jpg,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/GT/case10_1/case_M_20181113100307_0U62372111373406_1_005_001-1_a15_ayy_image0109.png,379423,3883,SUNSEG_case10,case10,4,018af18fca2d1d78c0de4ae86d2126c47744b0ebff5fe1141775e4957814b01d,Hard-Unseen,SELECTED_PENDING_CONTAMINATION
testharddataset/unseen/case10_1/case_m_20181113100307_0u62372111373406_1_005_001-1_a23_ayy_image0035,TestHardDataset,Unseen,case10_1,case10,35,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/Frame/case10_1/case_M_20181113100307_0U62372111373406_1_005_001-1_a23_ayy_image0035.jpg,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/GT/case10_1/case_M_20181113100307_0U62372111373406_1_005_001-1_a23_ayy_image0035.png,372771,3879,SUNSEG_case10,case10,5,019d107d9347cdface6f6fd5e778654a123a4530a2df1daf2cfb8b59ee9ff9be,Hard-Unseen,SELECTED_PENDING_CONTAMINATION
testharddataset/unseen/case10_2/case_m_20181113100307_0u62372111373406_1_005_001-1_a26_ayy_image0064,TestHardDataset,Unseen,case10_2,case10,64,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/Frame/case10_2/case_M_20181113100307_0U62372111373406_1_005_001-1_a26_ayy_image0064.jpg,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/GT/case10_2/case_M_20181113100307_0U62372111373406_1_005_001-1_a26_ayy_image0064.png,283208,4548,SUNSEG_case10,case10,6,02d90e1870497cf4b4986eb28514a2f6b2da4a94c32ec478f80201f79aa5dc06,Hard-Unseen,SELECTED_PENDING_CONTAMINATION
testharddataset/unseen/case10_2/case_m_20181113100307_0u62372111373406_1_005_001-1_a26_ayy_image0118,TestHardDataset,Unseen,case10_2,case10,118,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/Frame/case10_2/case_M_20181113100307_0U62372111373406_1_005_001-1_a26_ayy_image0118.jpg,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/GT/case10_2/case_M_20181113100307_0U62372111373406_1_005_001-1_a26_ayy_image0118.png,329868,4180,SUNSEG_case10,case10,7,02f4f11fa522dc2ed117d58aac93c7c4dead3b6a6284a5da11ee1d33733efea9,Hard-Unseen,SELECTED_PENDING_CONTAMINATION
testharddataset/unseen/case10_2/case_m_20181113100307_0u62372111373406_1_005_001-1_a26_ayy_image0197,TestHardDataset,Unseen,case10_2,case10,197,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/Frame/case10_2/case_M_20181113100307_0U62372111373406_1_005_001-1_a26_ayy_image0197.jpg,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/GT/case10_2/case_M_20181113100307_0U62372111373406_1_005_001-1_a26_ayy_image0197.png,394793,4174,SUNSEG_case10,case10,8,02fd97ddde68bebecf857ae9a62cc4d8797c4437f26d084112d572aa80ef4636,Hard-Unseen,SELECTED_PENDING_CONTAMINATION
testharddataset/unseen/case10_1/case_m_20181113100307_0u62372111373406_1_005_001-1_a15_ayy_image0055,TestHardDataset,Unseen,case10_1,case10,55,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/Frame/case10_1/case_M_20181113100307_0U62372111373406_1_005_001-1_a15_ayy_image0055.jpg,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/GT/case10_1/case_M_20181113100307_0U62372111373406_1_005_001-1_a15_ayy_image0055.png,364468,3912,SUNSEG_case10,case10,9,037e66adc0c0016d2449d4946e6998c7c09d39d870bd69401d51af8ddcf94648,Hard-Unseen,SELECTED_PENDING_CONTAMINATION
testharddataset/unseen/case10_2/case_m_20181113100307_0u62372111373406_1_005_001-1_a26_ayy_image0148,TestHardDataset,Unseen,case10_2,case10,148,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/Frame/case10_2/case_M_20181113100307_0U62372111373406_1_005_001-1_a26_ayy_image0148.jpg,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/GT/case10_2/case_M_20181113100307_0U62372111373406_1_005_001-1_a26_ayy_image0148.png,280539,4217,SUNSEG_case10,case10,10,0465c34f192c80424270402554518720e67c7091e67aa25abdd9cbfb5c1a53ae,Hard-Unseen,SELECTED_PENDING_CONTAMINATION
