feature_row,sample_id,external_case_id,cluster_id,clip_id,source_split_label,frame_member,image_raw_sha256,model_family,model_state_id,training_seed,checkpoint_sha256,state_prediction_npz_relpath,state_row_index,morph_fg_fraction,morph_boundary_density,frozen_safety_probability,frozen_operating_threshold,frozen_risk_flag
0,testeasydataset/unseen/case11/case_m_20181120115731_0u62368112064030_1_004_001-1_a42_ayy_image0003,SUNSEG_case11,case11,case11,Easy-Unseen,SUN-SEG-FinalData-v20251212/TestEasyDataset/Unseen/Frame/case11/case_M_20181120115731_0U62368112064030_1_004_001-1_a42_ayy_image0003.jpg,263828fc26c473f11ea0fea075412d3f4acf8d2378c207785acbb2e9e67ea7a8,DeepLabV3-R50,DeepLabV3-R50__seed20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,state_predictions/deeplabv3_r50_seed20260817_source_tent1_pl_predictions.npz,52,0.08598592458677685,0.003933566433566434,0.6065183234378747,0.300584763193734,1
1,testeasydataset/unseen/case11/case_m_20181120115731_0u62368112064030_1_004_001-1_a42_ayy_image0004,SUNSEG_case11,case11,case11,Easy-Unseen,SUN-SEG-FinalData-v20251212/TestEasyDataset/Unseen/Frame/case11/case_M_20181120115731_0U62368112064030_1_004_001-1_a42_ayy_image0004.jpg,b885ef3f95d1944ed1ba0d2b304c6deda8f5bcf6496b48deb215fd8ff05ed5c0,DeepLabV3-R50,DeepLabV3-R50__seed20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,state_predictions/deeplabv3_r50_seed20260817_source_tent1_pl_predictions.npz,55,0.04757715650826446,0.0014245014245014244,0.6573152129707136,0.300584763193734,1
2,testeasydataset/unseen/case11/case_m_20181120115731_0u62368112064030_1_004_001-1_a42_ayy_image0005,SUNSEG_case11,case11,case11,Easy-Unseen,SUN-SEG-FinalData-v20251212/TestEasyDataset/Unseen/Frame/case11/case_M_20181120115731_0U62368112064030_1_004_001-1_a42_ayy_image0005.jpg,435a94d81dfb2f1b100b092c4d128ccf75f6c2376c3dcec4a7b29175a893cced,DeepLabV3-R50,DeepLabV3-R50__seed20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,state_predictions/deeplabv3_r50_seed20260817_source_tent1_pl_predictions.npz,42,0.13189243285123967,0.002415986790986791,0.45499786587643887,0.300584763193734,1
3,testeasydataset/unseen/case11/case_m_20181120115731_0u62368112064030_1_004_001-1_a42_ayy_image0009,SUNSEG_case11,case11,case11,Easy-Unseen,SUN-SEG-FinalData-v20251212/TestEasyDataset/Unseen/Frame/case11/case_M_20181120115731_0U62368112064030_1_004_001-1_a42_ayy_image0009.jpg,077972b0969815833708273cea4237b75de395d5ec80c9f38a9d7923e16edc2e,DeepLabV3-R50,DeepLabV3-R50__seed20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,state_predictions/deeplabv3_r50_seed20260817_source_tent1_pl_predictions.npz,50,0.12868026859504134,0.0023269554519554517,0.45087336083726437,0.300584763193734,1
4,testeasydataset/unseen/case11/case_m_20181120115731_0u62368112064030_1_004_001-1_a42_ayy_image0013,SUNSEG_case11,case11,case11,Easy-Unseen,SUN-SEG-FinalData-v20251212/TestEasyDataset/Unseen/Frame/case11/case_M_20181120115731_0U62368112064030_1_004_001-1_a42_ayy_image0013.jpg,06cc704aeb54b71a9852f4f66f70b999f285d8da3b03a32ce58382281669b5a6,DeepLabV3-R50,DeepLabV3-R50__seed20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,state_predictions/deeplabv3_r50_seed20260817_source_tent1_pl_predictions.npz,44,0.12584743026859505,0.002525252525252525,0.5048009485944498,0.300584763193734,1
5,testeasydataset/unseen/case11/case_m_20181120115731_0u62368112064030_1_004_001-1_a42_ayy_image0016,SUNSEG_case11,case11,case11,Easy-Unseen,SUN-SEG-FinalData-v20251212/TestEasyDataset/Unseen/Frame/case11/case_M_20181120115731_0U62368112064030_1_004_001-1_a42_ayy_image0016.jpg,32164988d40c9749e2b174666e377e4583034ef92cf89357af2d179605d94713,DeepLabV3-R50,DeepLabV3-R50__seed20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,state_predictions/deeplabv3_r50_seed20260817_source_tent1_pl_predictions.npz,54,0.12815566890495866,0.0025292994042994043,0.4733914351201448,0.300584763193734,1
6,testeasydataset/unseen/case11/case_m_20181120115731_0u62368112064030_1_004_001-1_a42_ayy_image0022,SUNSEG_case11,case11,case11,Easy-Unseen,SUN-SEG-FinalData-v20251212/TestEasyDataset/Unseen/Frame/case11/case_M_20181120115731_0U62368112064030_1_004_001-1_a42_ayy_image0022.jpg,c5a36583078172188944aa1bef71ab381a9a6f7015bf2fe2bbbb7a5498a06da2,DeepLabV3-R50,DeepLabV3-R50__seed20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,state_predictions/deeplabv3_r50_seed20260817_source_tent1_pl_predictions.npz,40,0.12742930010330578,0.0025414400414400413,0.4748438001651765,0.300584763193734,1
7,testeasydataset/unseen/case11/case_m_20181120115731_0u62368112064030_1_004_001-1_a42_ayy_image0032,SUNSEG_case11,case11,case11,Easy-Unseen,SUN-SEG-FinalData-v20251212/TestEasyDataset/Unseen/Frame/case11/case_M_20181120115731_0U62368112064030_1_004_001-1_a42_ayy_image0032.jpg,f4faf8bb2eaa2121269ae8ddf0c6fd3738f8644e208bcf78d8f3beaee2aafa85,DeepLabV3-R50,DeepLabV3-R50__seed20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,state_predictions/deeplabv3_r50_seed20260817_source_tent1_pl_predictions.npz,43,0.12924522210743802,0.002339096089096089,0.45858583922689233,0.300584763193734,1
8,testeasydataset/unseen/case11/case_m_20181120115731_0u62368112064030_1_004_001-1_a42_ayy_image0037,SUNSEG_case11,case11,case11,Easy-Unseen,SUN-SEG-FinalData-v20251212/TestEasyDataset/Unseen/Frame/case11/case_M_20181120115731_0U62368112064030_1_004_001-1_a42_ayy_image0037.jpg,aa02164f7f5c6b4c9063cfed9265badc9268ad0fb20f8dbae50c6425e0f160fd,DeepLabV3-R50,DeepLabV3-R50__seed20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,state_predictions/deeplabv3_r50_seed20260817_source_tent1_pl_predictions.npz,46,0.12904345299586778,0.0023674242424242425,0.47646250782785377,0.300584763193734,1
9,testeasydataset/unseen/case11/case_m_20181120115731_0u62368112064030_1_004_001-1_a42_ayy_image0050,SUNSEG_case11,case11,case11,Easy-Unseen,SUN-SEG-FinalData-v20251212/TestEasyDataset/Unseen/Frame/case11/case_M_20181120115731_0U62368112064030_1_004_001-1_a42_ayy_image0050.jpg,088303352790eeeb5abd9a4cfa13da3f95d870f3f50f377cad82139f8b9a2713,DeepLabV3-R50,DeepLabV3-R50__seed20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,state_predictions/deeplabv3_r50_seed20260817_source_tent1_pl_predictions.npz,53,0.04698799070247934,0.002585955710955711,0.2607417950289042,0.300584763193734,0
10,testeasydataset/unseen/case11/case_m_20181120115731_0u62368112064030_1_004_001-1_a42_ayy_image0061,SUNSEG_case11,case11,case11,Easy-Unseen,SUN-SEG-FinalData-v20251212/TestEasyDataset/Unseen/Frame/case11/case_M_20181120115731_0U62368112064030_1_004_001-1_a42_ayy_image0061.jpg,86e86be769fbb70bc747c3846bbf1d385ea02fd97efe2ea3d09a74eda31ef429,DeepLabV3-R50,DeepLabV3-R50__seed20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,state_predictions/deeplabv3_r50_seed20260817_source_tent1_pl_predictions.npz,51,0.04986925361570248,0.0017563455063455062,0.49242363772121406,0.300584763193734,1
11,testeasydataset/unseen/case11/case_m_20181120115731_0u62368112064030_1_004_001-1_a42_ayy_image0063,SUNSEG_case11,case11,case11,Easy-Unseen,SUN-SEG-FinalData-v20251212/TestEasyDataset/Unseen/Frame/case11/case_M_20181120115731_0U62368112064030_1_004_001-1_a42_ayy_image0063.jpg,d902eccfb095e78916844611f16e39488f56088c806444714f5cd82bb2f0076b,DeepLabV3-R50,DeepLabV3-R50__seed20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,state_predictions/deeplabv3_r50_seed20260817_source_tent1_pl_predictions.npz,59,0.05262945506198347,0.0017563455063455064,0.43734689817355216,0.300584763193734,1
12,testeasydataset/unseen/case11/case_m_20181120115731_0u62368112064030_1_004_001-1_a42_ayy_image0065,SUNSEG_case11,case11,case11,Easy-Unseen,SUN-SEG-FinalData-v20251212/TestEasyDataset/Unseen/Frame/case11/case_M_20181120115731_0U62368112064030_1_004_001-1_a42_ayy_image0065.jpg,f3564b639f40667c4a1f118235aa8c2d92ed94c72511be880c38c9e02d43d591,DeepLabV3-R50,DeepLabV3-R50__seed20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,state_predictions/deeplabv3_r50_seed20260817_source_tent1_pl_predictions.npz,56,0.05684239411157025,0.0018453768453768455,0.42223626830784655,0.300584763193734,1
13,testeasydataset/unseen/case11/case_m_20181120115731_0u62368112064030_1_004_001-1_a42_ayy_image0071,SUNSEG_case11,case11,case11,Easy-Unseen,SUN-SEG-FinalData-v20251212/TestEasyDataset/Unseen/Frame/case11/case_M_20181120115731_0U62368112064030_1_004_001-1_a42_ayy_image0071.jpg,57e6e1c4eed6b14cf0f0edc080e0ae54fdae110bdf47976f46f065293f748ee4,DeepLabV3-R50,DeepLabV3-R50__seed20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,state_predictions/deeplabv3_r50_seed20260817_source_tent1_pl_predictions.npz,47,0.061232889979338845,0.0017158767158767158,0.3171058147498015,0.300584763193734,1
14,testeasydataset/unseen/case11/case_m_20181120115731_0u62368112064030_1_004_001-1_a42_ayy_image0075,SUNSEG_case11,case11,case11,Easy-Unseen,SUN-SEG-FinalData-v20251212/TestEasyDataset/Unseen/Frame/case11/case_M_20181120115731_0U62368112064030_1_004_001-1_a42_ayy_image0075.jpg,c6fecb93dbe7c1febabec7aca0f75a202940f204de2904887308b64ac7db6977,DeepLabV3-R50,DeepLabV3-R50__seed20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,state_predictions/deeplabv3_r50_seed20260817_source_tent1_pl_predictions.npz,57,0.09239411157024793,0.002318861693861694,0.37601234265955746,0.300584763193734,1
15,testeasydataset/unseen/case11/case_m_20181120115731_0u62368112064030_1_004_002-1_a16_ayy_image0012,SUNSEG_case11,case11,case11,Easy-Unseen,SUN-SEG-FinalData-v20251212/TestEasyDataset/Unseen/Frame/case11/case_M_20181120115731_0U62368112064030_1_004_002-1_a16_ayy_image0012.jpg,b47ee944e009a1b37bb7691a9a7d50d6a5ee6207e1fb8492c292877e73748445,DeepLabV3-R50,DeepLabV3-R50__seed20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,state_predictions/deeplabv3_r50_seed20260817_source_tent1_pl_predictions.npz,49,0.04823895919421488,0.0012221574721574722,0.6029087572116022,0.300584763193734,1
16,testeasydataset/unseen/case11/case_m_20181120115731_0u62368112064030_1_004_002-1_a16_ayy_image0014,SUNSEG_case11,case11,case11,Easy-Unseen,SUN-SEG-FinalData-v20251212/TestEasyDataset/Unseen/Frame/case11/case_M_20181120115731_0U62368112064030_1_004_002-1_a16_ayy_image0014.jpg,ae4207cbf16be8fbad4676bc7045c31de8614df636bed8d6b87358d6399d923d,DeepLabV3-R50,DeepLabV3-R50__seed20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,state_predictions/deeplabv3_r50_seed20260817_source_tent1_pl_predictions.npz,58,0.0486667097107438,0.0011452667702667703,0.5528720367158088,0.300584763193734,1
17,testeasydataset/unseen/case11/case_m_20181120115731_0u62368112064030_1_004_002-1_a16_ayy_image0016,SUNSEG_case11,case11,case11,Easy-Unseen,SUN-SEG-FinalData-v20251212/TestEasyDataset/Unseen/Frame/case11/case_M_20181120115731_0U62368112064030_1_004_002-1_a16_ayy_image0016.jpg,2b8dd951f7345880893c9b2bdfea1908a8f466cc36068d12edec44c474f4dec2,DeepLabV3-R50,DeepLabV3-R50__seed20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,state_predictions/deeplabv3_r50_seed20260817_source_tent1_pl_predictions.npz,41,0.04616477272727273,0.001120985495985496,0.48040791791713633,0.300584763193734,1
18,testeasydataset/unseen/case11/case_m_20181120115731_0u62368112064030_1_004_002-1_a16_ayy_image0021,SUNSEG_case11,case11,case11,Easy-Unseen,SUN-SEG-FinalData-v20251212/TestEasyDataset/Unseen/Frame/case11/case_M_20181120115731_0U62368112064030_1_004_002-1_a16_ayy_image0021.jpg,3c9554b0b8b5b74ae94afefed41477547b39a535035d4940e65f61c2af112493,DeepLabV3-R50,DeepLabV3-R50__seed20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,state_predictions/deeplabv3_r50_seed20260817_source_tent1_pl_predictions.npz,48,0.03526924070247934,0.0009307821807821808,0.45012554827646967,0.300584763193734,1
19,testeasydataset/unseen/case11/case_m_20181120115731_0u62368112064030_1_004_002-1_a16_ayy_image0027,SUNSEG_case11,case11,case11,Easy-Unseen,SUN-SEG-FinalData-v20251212/TestEasyDataset/Unseen/Frame/case11/case_M_20181120115731_0U62368112064030_1_004_002-1_a16_ayy_image0027.jpg,50cdf337ae43efe559abebf57343a5b46a9b3fb2b5214bcd27a9490d59d2e133,DeepLabV3-R50,DeepLabV3-R50__seed20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,state_predictions/deeplabv3_r50_seed20260817_source_tent1_pl_predictions.npz,45,0.0006214488636363636,0.00025900025900025896,0.5455903219640572,0.300584763193734,1
20,testeasydataset/unseen/case12_1/case_m_20181211093229_0u62367121175028_1_002_002-1_a2_ayy_image0025,SUNSEG_case12,case12,case12_1,Easy-Unseen,SUN-SEG-FinalData-v20251212/TestEasyDataset/Unseen/Frame/case12_1/case_M_20181211093229_0U62367121175028_1_002_002-1_a2_ayy_image0025.jpg,1276f550cac50615e62bbe6dcfd85e1a76016ad453ea089f3eca77dd4637cf36,DeepLabV3-R50,DeepLabV3-R50__seed20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,state_predictions/deeplabv3_r50_seed20260817_source_tent1_pl_predictions.npz,71,0.042210098140495866,0.001558048433048433,0.7554437811592074,0.300584763193734,1
21,testeasydataset/unseen/case12_1/case_m_20181211093229_0u62367121175028_1_002_002-1_a2_ayy_image0064,SUNSEG_case12,case12,case12_1,Easy-Unseen,SUN-SEG-FinalData-v20251212/TestEasyDataset/Unseen/Frame/case12_1/case_M_20181211093229_0U62367121175028_1_002_002-1_a2_ayy_image0064.jpg,b8e75e30ece5dfe64813ae9de1567cdb50127b531a678b8122d6fa92680cf117,DeepLabV3-R50,DeepLabV3-R50__seed20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,state_predictions/deeplabv3_r50_seed20260817_source_tent1_pl_predictions.npz,75,0.013074638429752067,0.0008336570836570837,0.5677700678518655,0.300584763193734,1
22,testeasydataset/unseen/case12_1/case_m_20181211093229_0u62367121175028_1_002_002-1_a3_ayy_image0016,SUNSEG_case12,case12,case12_1,Easy-Unseen,SUN-SEG-FinalData-v20251212/TestEasyDataset/Unseen/Frame/case12_1/case_M_20181211093229_0U62367121175028_1_002_002-1_a3_ayy_image0016.jpg,59beafa90c94a1d5c669af1941d1b95ba7d4d11e3ac392170607aa362cc3013d,DeepLabV3-R50,DeepLabV3-R50__seed20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,state_predictions/deeplabv3_r50_seed20260817_source_tent1_pl_predictions.npz,69,0.03806172520661157,0.0015944703444703444,0.49067000640418235,0.300584763193734,1
