comparison,metric,bootstrap_requested,bootstrap_valid,bootstrap_mean,ci95_low,ci95_high,cluster_unit
TENT1,auroc,2000,2000,0.6750483577873316,0.6266026611789363,0.7192325769473833,physical_case_cluster_id
TENT1,auprc,2000,2000,0.353557043012735,0.309630447497076,0.3990237623962499,physical_case_cluster_id
TENT1,recall,2000,2000,0.6641943832426096,0.5572500972833494,0.7619093303632941,physical_case_cluster_id
TENT1,fpr,2000,2000,0.4211938989924846,0.3497260408038293,0.4947634925689566,physical_case_cluster_id
TENT1,empirical_ppv,2000,2000,0.320470472243255,0.28430419351692715,0.35732531130848,physical_case_cluster_id
TENT1,ppv_at_1pct,2000,2000,0.016284682212628077,0.013985087681954424,0.01894869125267062,physical_case_cluster_id
TENT1,oracle_target_fpr_at_r90_diagnostic,2000,2000,0.6875734324204923,0.5853738961595878,0.7930509727445465,physical_case_cluster_id
PL,auroc,2000,2000,0.6387630372514875,0.5901984340218269,0.6858081466183279,physical_case_cluster_id
PL,auprc,2000,2000,0.1593476449080137,0.13304939035896438,0.19000305929307473,physical_case_cluster_id
PL,recall,2000,2000,0.6643481632017912,0.5764869120268834,0.7497842607400101,physical_case_cluster_id
PL,fpr,2000,2000,0.4577061896613059,0.3817973721909331,0.5357253675324725,physical_case_cluster_id
PL,empirical_ppv,2000,2000,0.16566690790631403,0.14329630150559838,0.18870668377988345,physical_case_cluster_id
PL,ppv_at_1pct,2000,2000,0.014468746503206576,0.012583742225187012,0.016678956549812718,physical_case_cluster_id
PL,oracle_target_fpr_at_r90_diagnostic,2000,2000,0.6480265786048489,0.579718364791677,0.7194534581259474,physical_case_cluster_id
PL_minus_TENT1,auroc,2000,2000,-0.036285320535844164,-0.09771842552094101,0.02402010455813938,physical_case_cluster_id
PL_minus_TENT1,auprc,2000,2000,-0.1942093981047213,-0.2539787463091592,-0.13057031851293646,physical_case_cluster_id
PL_minus_TENT1,recall,2000,2000,0.0001537799591817451,-0.08101700477868226,0.07982051830455243,physical_case_cluster_id
PL_minus_TENT1,fpr,2000,2000,0.03651229066882124,0.01658767772917732,0.0572867055475598,physical_case_cluster_id
PL_minus_TENT1,empirical_ppv,2000,2000,-0.15480356433694098,-0.2011789534438842,-0.10895299909950645,physical_case_cluster_id
PL_minus_TENT1,ppv_at_1pct,2000,2000,-0.0018159357094215036,-0.004458475556089449,0.0007957460883505097,physical_case_cluster_id
PL_minus_TENT1,oracle_target_fpr_at_r90_diagnostic,2000,2000,-0.039546853815643365,-0.15919483177986615,0.07075553131952,physical_case_cluster_id
