target_family,comparison,metric,bootstrap_mean_delta,ci95_low,ci95_high,inference
DeepLabV3-R50,COND_vs_CLS,AUROC,0.09538428141712038,0.0763276205955061,0.11337226543214006,A_BETTER
DeepLabV3-R50,COND_vs_CLS,AUPRC,0.17060767812016134,0.1391883317134868,0.2028379195257287,A_BETTER
DeepLabV3-R50,COND_vs_CLS,Recall,0.005038532985854257,-0.009313919079878033,0.018636338873231264,NO_95CI_DIFFERENCE
DeepLabV3-R50,COND_vs_CLS,FPR,-0.10730212154725613,-0.13856787963365544,-0.07596099692749057,A_BETTER
DeepLabV3-R50,COND_vs_CLS,PPV1pct,0.0030709699346734495,0.002162135503505214,0.004040603435815703,A_BETTER
DeepLabV3-R50,COND_vs_CLS,OracleR90FPR,-0.12232613096197602,-0.1642789511124194,-0.07981810635044596,A_BETTER
PraNet,COND_vs_CLS,AUROC,0.13176636974033232,0.1105902653173703,0.153991878505655,A_BETTER
PraNet,COND_vs_CLS,AUPRC,0.1655030930281523,0.13850525319048337,0.19352441810421525,A_BETTER
PraNet,COND_vs_CLS,Recall,-0.018551729845882756,-0.04099243540839774,0.0030774941945161238,NO_95CI_DIFFERENCE
PraNet,COND_vs_CLS,FPR,-0.21660021588600295,-0.2553941220798795,-0.17683553831058996,A_BETTER
PraNet,COND_vs_CLS,PPV1pct,0.012099720902495741,0.009419590231301952,0.015220139606666199,A_BETTER
PraNet,COND_vs_CLS,OracleR90FPR,-0.17190050799808806,-0.223065226757582,-0.11985041639974368,A_BETTER
SegFormer-B0,COND_vs_CLS,AUROC,0.06490583676583933,0.046847695000174716,0.08268392058009981,A_BETTER
SegFormer-B0,COND_vs_CLS,AUPRC,0.10671309666347661,0.06551575732235765,0.1479925358691765,A_BETTER
SegFormer-B0,COND_vs_CLS,Recall,0.0103950748667671,-0.0063995553872741836,0.02732362083890746,NO_95CI_DIFFERENCE
SegFormer-B0,COND_vs_CLS,FPR,-0.03962829262179854,-0.06188025851385035,-0.016984878287011496,A_BETTER
SegFormer-B0,COND_vs_CLS,PPV1pct,0.0009857257212198998,0.0004960923614459192,0.0014651073190280084,A_BETTER
SegFormer-B0,COND_vs_CLS,OracleR90FPR,-0.0807823183347327,-0.12546768425002733,-0.03265119095392861,A_BETTER
DeepLabV3-R50,COND_vs_FG,AUROC,-0.0014999769293772044,-0.0048198343378285605,0.0019100044901601944,NO_95CI_DIFFERENCE
DeepLabV3-R50,COND_vs_FG,AUPRC,0.001318787630301335,-0.006286799800790136,0.009175986844306606,NO_95CI_DIFFERENCE
DeepLabV3-R50,COND_vs_FG,Recall,0.00553494723624796,-0.0007353619492078301,0.012261715296197974,NO_95CI_DIFFERENCE
DeepLabV3-R50,COND_vs_FG,FPR,0.004695889278038581,-0.005213154127075209,0.015178866051454194,NO_95CI_DIFFERENCE
DeepLabV3-R50,COND_vs_FG,PPV1pct,-5.29636679369863e-05,-0.00040197425154766766,0.0002898093359926931,NO_95CI_DIFFERENCE
DeepLabV3-R50,COND_vs_FG,OracleR90FPR,-0.0019338651722581774,-0.01998062500534772,0.01614636267799851,NO_95CI_DIFFERENCE
PraNet,COND_vs_FG,AUROC,0.0004540910673051185,-0.002964828727919003,0.004008477321400542,NO_95CI_DIFFERENCE
PraNet,COND_vs_FG,AUPRC,0.001385895715569835,-0.0021735850542590946,0.005095361004476319,NO_95CI_DIFFERENCE
PraNet,COND_vs_FG,Recall,0.0062452922119385235,-0.0014485834840263583,0.01466093166536163,NO_95CI_DIFFERENCE
PraNet,COND_vs_FG,FPR,0.005010315418282319,-0.007940102445472585,0.017819298875907684,NO_95CI_DIFFERENCE
PraNet,COND_vs_FG,PPV1pct,-0.00030127961649285275,-0.0015756977852996621,0.0010592695453139577,NO_95CI_DIFFERENCE
PraNet,COND_vs_FG,OracleR90FPR,-0.015722719358013785,-0.03544842474356295,0.004334870888684483,NO_95CI_DIFFERENCE
SegFormer-B0,COND_vs_FG,AUROC,-0.002507089260472692,-0.007078466829863711,0.0020089857451008374,NO_95CI_DIFFERENCE
SegFormer-B0,COND_vs_FG,AUPRC,0.0028144812879956314,-0.007887776639991656,0.013689028188350692,NO_95CI_DIFFERENCE
SegFormer-B0,COND_vs_FG,Recall,-0.0005603960338726406,-0.006368454608026497,0.0055341025061262615,NO_95CI_DIFFERENCE
