level,target_family,method,metric,bootstrap_mean,ci95_low,ci95_high
macro,MACRO,M2_backbone,AUROC,0.8059027763900045,0.7918758897235216,0.8205544529838231
macro,MACRO,M2_backbone,AUPRC,0.6577098955405827,0.6337323883026882,0.6817119178524659
macro,MACRO,M2_backbone,Recall,0.8982486881830087,0.8808506834756847,0.9149884766783599
macro,MACRO,M2_backbone,FPR,0.5601999200170371,0.5274336887142198,0.5922844558325394
macro,MACRO,M2_backbone,PPV1pct,0.016174970944503517,0.015303252957808492,0.017145566320342424
macro,MACRO,M2_backbone,OracleR90FPR,0.5662597354993909,0.5043809608215815,0.6209111589557914
macro,MACRO,ImageCLS_PCA64,AUROC,0.7280701478809098,0.7101604458394389,0.7469598897978198
macro,MACRO,ImageCLS_PCA64,AUPRC,0.5609062672140469,0.5322058186430526,0.5872913361574473
macro,MACRO,ImageCLS_PCA64,Recall,0.8970220984405789,0.8796421898114581,0.912996649369014
macro,MACRO,ImageCLS_PCA64,FPR,0.6013197182849573,0.5699547091247072,0.6326966035332953
macro,MACRO,ImageCLS_PCA64,PPV1pct,0.015045394382599633,0.014284889267913669,0.015870025288068006
macro,MACRO,ImageCLS_PCA64,OracleR90FPR,0.5998577102508863,0.5622248877475755,0.6369804962689773
macro,MACRO,FG_PCA64,AUROC,0.8266066355628554,0.8124781789663221,0.8409185640084262
macro,MACRO,FG_PCA64,AUPRC,0.706674501606688,0.6801117242208513,0.7312090383129051
macro,MACRO,FG_PCA64,Recall,0.8922427766380537,0.8753579936783525,0.9083460416244898
macro,MACRO,FG_PCA64,FPR,0.4761174683074433,0.44782368234244174,0.5035662704189373
macro,MACRO,FG_PCA64,PPV1pct,0.020569616729297684,0.019189407477735097,0.022155265770626903
macro,MACRO,FG_PCA64,OracleR90FPR,0.482864487545743,0.44120773710250893,0.5243617352735344
macro,MACRO,BG_PCA64,AUROC,0.7291496245736262,0.7099921839106804,0.7476466220323733
macro,MACRO,BG_PCA64,AUPRC,0.564330500416202,0.5329136565674172,0.5925555051237508
macro,MACRO,BG_PCA64,Recall,0.9025057433639435,0.8860123221748418,0.9182327901701057
macro,MACRO,BG_PCA64,FPR,0.5984530364722882,0.566177387672202,0.6308325006264474
macro,MACRO,BG_PCA64,PPV1pct,0.015229823041448867,0.014431411296173285,0.016092923943784365
macro,MACRO,BG_PCA64,OracleR90FPR,0.5814959834790804,0.5434672965643135,0.6200775775682312
macro,MACRO,CondDINO_PCA64,AUROC,0.8254223105220071,0.8109031244896028,0.8400349543812392
macro,MACRO,CondDINO_PCA64,AUPRC,0.7085142231513103,0.6808308688516069,0.7334453325347197
macro,MACRO,CondDINO_PCA64,Recall,0.8959827244428252,0.8788656226797434,0.9122867853701327
macro,MACRO,CondDINO_PCA64,FPR,0.4801428415999381,0.45070211621049455,0.5089009044954425
macro,MACRO,CondDINO_PCA64,PPV1pct,0.02043086656872933,0.019010165877338094,0.022062747018444562
macro,MACRO,CondDINO_PCA64,OracleR90FPR,0.47485472448595395,0.4355580667871074,0.5168768407020915
macro,MACRO,M2_plus_FG_PCA64,AUROC,0.8278293486666941,0.8136556882655329,0.8422443885421896
macro,MACRO,M2_plus_FG_PCA64,AUPRC,0.7082907785135542,0.6821780363514102,0.7328643217025756
macro,MACRO,M2_plus_FG_PCA64,Recall,0.8912315837556468,0.8738645833625149,0.9075872191776603
macro,MACRO,M2_plus_FG_PCA64,FPR,0.4727032256325717,0.4447397413909642,0.49992335648110103
macro,MACRO,M2_plus_FG_PCA64,PPV1pct,0.020660129508362254,0.01923934831079081,0.022283998413324128
macro,MACRO,M2_plus_FG_PCA64,OracleR90FPR,0.4768042677950483,0.43393285242671625,0.5199184242528514
macro,MACRO,M2_plus_BG_PCA64,AUROC,0.745351012969397,0.7272018317474316,0.7628468189234882
macro,MACRO,M2_plus_BG_PCA64,AUPRC,0.5797421340211647,0.5513073669798646,0.6052290467164801
macro,MACRO,M2_plus_BG_PCA64,Recall,0.9055172148322002,0.8887925055866966,0.9204316548822576
macro,MACRO,M2_plus_BG_PCA64,FPR,0.5805099475272804,0.548582926609156,0.6127888736329038
macro,MACRO,M2_plus_BG_PCA64,PPV1pct,0.015715576541953748,0.0148926528202918,0.01662064863137194
macro,MACRO,M2_plus_BG_PCA64,OracleR90FPR,0.5610941061926349,0.5231992603206879,0.5991024991117269
macro,MACRO,M2_plus_CondDINO_PCA64,AUROC,0.8264921049269113,0.8119559482278064,0.8410710866282084
macro,MACRO,M2_plus_CondDINO_PCA64,AUPRC,0.7099590776028837,0.682333684415676,0.7351653076630018
macro,MACRO,M2_plus_CondDINO_PCA64,Recall,0.8952557303345569,0.8779503897961379,0.9116078275213105
macro,MACRO,M2_plus_CondDINO_PCA64,FPR,0.476428949470405,0.4474032998024064,0.5044102306902939
macro,MACRO,M2_plus_CondDINO_PCA64,PPV1pct,0.020597470595866335,0.01917213928749993,0.022260722125549366
macro,MACRO,M2_plus_CondDINO_PCA64,OracleR90FPR,0.4708343065223428,0.43018482742081343,0.5147180729037095
