comparison,method_A,method_B,metric,bootstrap_mean_delta,ci95_low,ci95_high,favorable_bootstrap_fraction,inference
COND_vs_CLS,CondDINO_PCA64,ImageCLS_PCA64,AUROC,0.09735216264109735,0.08344979951593608,0.11226263638251745,1.0,A_BETTER
COND_vs_CLS,CondDINO_PCA64,ImageCLS_PCA64,AUPRC,0.14760795593726342,0.12509865885520133,0.17094027694490146,1.0,A_BETTER
COND_vs_CLS,CondDINO_PCA64,ImageCLS_PCA64,Recall,-0.0010393739977538003,-0.013105963777885513,0.010266974562304536,0.441,NO_95CI_DIFFERENCE
COND_vs_CLS,CondDINO_PCA64,ImageCLS_PCA64,FPR,-0.12117687668501921,-0.1473907968490961,-0.09487088504304521,1.0,A_BETTER
COND_vs_CLS,CondDINO_PCA64,ImageCLS_PCA64,PPV1pct,0.005385472186129696,0.004221658742930783,0.006639717723378853,1.0,A_BETTER
COND_vs_CLS,CondDINO_PCA64,ImageCLS_PCA64,OracleR90FPR,-0.12500298576493227,-0.156426057087345,-0.09411373344035481,1.0,A_BETTER
COND_vs_FG,CondDINO_PCA64,FG_PCA64,AUROC,-0.001184325040848257,-0.0036963290928193004,0.0013225932325416224,0.1845,NO_95CI_DIFFERENCE
COND_vs_FG,CondDINO_PCA64,FG_PCA64,AUPRC,0.0018397215446222701,-0.0033128051750025006,0.006836716215133606,0.761,NO_95CI_DIFFERENCE
COND_vs_FG,CondDINO_PCA64,FG_PCA64,Recall,0.0037399478047712834,-0.00040371923613797265,0.008125797916888538,0.96,NO_95CI_DIFFERENCE
COND_vs_FG,CondDINO_PCA64,FG_PCA64,FPR,0.00402537329249479,-0.0038656266559717696,0.011750049991250225,0.158,NO_95CI_DIFFERENCE
COND_vs_FG,CondDINO_PCA64,FG_PCA64,PPV1pct,-0.00013875016056835965,-0.0006149469852112896,0.0003618432188456493,0.2775,NO_95CI_DIFFERENCE
COND_vs_FG,CondDINO_PCA64,FG_PCA64,OracleR90FPR,-0.008009763059789047,-0.019415032999472014,0.003953743047972925,0.912,NO_95CI_DIFFERENCE
COND_vs_BG,CondDINO_PCA64,BG_PCA64,AUROC,0.09627268594838102,0.08137716415061616,0.11156499758171605,1.0,A_BETTER
COND_vs_BG,CondDINO_PCA64,BG_PCA64,AUPRC,0.1441837227351082,0.11997281538038307,0.1675556395036266,1.0,A_BETTER
COND_vs_BG,CondDINO_PCA64,BG_PCA64,Recall,-0.006523018921118496,-0.020099454937737668,0.006459290749829333,0.1595,NO_95CI_DIFFERENCE
COND_vs_BG,CondDINO_PCA64,BG_PCA64,FPR,-0.11831019487235009,-0.1439547453520173,-0.09202337384545564,1.0,A_BETTER
COND_vs_BG,CondDINO_PCA64,BG_PCA64,PPV1pct,0.00520104352728046,0.004057672911603203,0.006461374522585615,1.0,A_BETTER
COND_vs_BG,CondDINO_PCA64,BG_PCA64,OracleR90FPR,-0.1066412589931264,-0.13624558871590986,-0.075029320184002,1.0,A_BETTER
FINAL_vs_M2,M2_plus_CondDINO_PCA64,M2_backbone,AUROC,0.020589328536906565,0.009963610829965589,0.031081933034612704,1.0,A_BETTER
FINAL_vs_M2,M2_plus_CondDINO_PCA64,M2_backbone,AUPRC,0.05224918206230102,0.03180347700336954,0.07318765333155923,1.0,A_BETTER
FINAL_vs_M2,M2_plus_CondDINO_PCA64,M2_backbone,Recall,-0.0029929578484519173,-0.017285285183185096,0.011516855213272755,0.343,NO_95CI_DIFFERENCE
FINAL_vs_M2,M2_plus_CondDINO_PCA64,M2_backbone,FPR,-0.08377097054663205,-0.1154702137271395,-0.05201099661290487,1.0,A_BETTER
FINAL_vs_M2,M2_plus_CondDINO_PCA64,M2_backbone,PPV1pct,0.0044224996513628125,0.003005061535247593,0.005966442090195264,1.0,A_BETTER
FINAL_vs_M2,M2_plus_CondDINO_PCA64,M2_backbone,OracleR90FPR,-0.095425428977048,-0.1374791674126971,-0.05046410994004222,1.0,A_BETTER
FINAL_vs_M2_FG,M2_plus_CondDINO_PCA64,M2_plus_FG_PCA64,AUROC,-0.0013372437397830637,-0.0037920675128249397,0.0011969143281828451,0.1555,NO_95CI_DIFFERENCE
FINAL_vs_M2_FG,M2_plus_CondDINO_PCA64,M2_plus_FG_PCA64,AUPRC,0.001668299089329586,-0.003669008079656677,0.006636129961984922,0.7385,NO_95CI_DIFFERENCE
FINAL_vs_M2_FG,M2_plus_CondDINO_PCA64,M2_plus_FG_PCA64,Recall,0.004024146578909971,0.0002166555649073504,0.0077918389719172825,0.982,A_BETTER
FINAL_vs_M2_FG,M2_plus_CondDINO_PCA64,M2_plus_FG_PCA64,FPR,0.0037257238378333103,-0.003561873455848079,0.01069941772812647,0.148,NO_95CI_DIFFERENCE
FINAL_vs_M2_FG,M2_plus_CondDINO_PCA64,M2_plus_FG_PCA64,PPV1pct,-6.265891249592166e-05,-0.0005190283145058346,0.0004044001019195681,0.39,NO_95CI_DIFFERENCE
FINAL_vs_M2_FG,M2_plus_CondDINO_PCA64,M2_plus_FG_PCA64,OracleR90FPR,-0.005969961272705492,-0.01718659533731524,0.005155903409034564,0.8415,NO_95CI_DIFFERENCE
FINAL_vs_M2_BG,M2_plus_CondDINO_PCA64,M2_plus_BG_PCA64,AUROC,0.08114109195751419,0.06714540665973848,0.09547688447990232,1.0,A_BETTER
FINAL_vs_M2_BG,M2_plus_CondDINO_PCA64,M2_plus_BG_PCA64,AUPRC,0.1302169435817191,0.10631166237748814,0.15382063449468814,1.0,A_BETTER
FINAL_vs_M2_BG,M2_plus_CondDINO_PCA64,M2_plus_BG_PCA64,Recall,-0.010261484497643272,-0.022942126505545106,0.0019337721158754248,0.0515,NO_95CI_DIFFERENCE
FINAL_vs_M2_BG,M2_plus_CondDINO_PCA64,M2_plus_BG_PCA64,FPR,-0.10408099805687533,-0.1286823485748913,-0.07812978951132069,1.0,A_BETTER
FINAL_vs_M2_BG,M2_plus_CondDINO_PCA64,M2_plus_BG_PCA64,PPV1pct,0.004881894053912584,0.003702942023012178,0.00619869101096043,1.0,A_BETTER
FINAL_vs_M2_BG,M2_plus_CondDINO_PCA64,M2_plus_BG_PCA64,OracleR90FPR,-0.09025979967029206,-0.12092033713980127,-0.05960697022930488,1.0,A_BETTER
FINAL_vs_COND,M2_plus_CondDINO_PCA64,CondDINO_PCA64,AUROC,0.0010697944049039298,-0.0004135427506112593,0.002328250539351458,0.9355,NO_95CI_DIFFERENCE
FINAL_vs_COND,M2_plus_CondDINO_PCA64,CondDINO_PCA64,AUPRC,0.0014448544515734047,-4.775415420358863e-05,0.0029425897780112425,0.9705,NO_95CI_DIFFERENCE
FINAL_vs_COND,M2_plus_CondDINO_PCA64,CondDINO_PCA64,Recall,-0.0007269941082683335,-0.003255502358906559,0.001509067689043716,0.2845,NO_95CI_DIFFERENCE
FINAL_vs_COND,M2_plus_CondDINO_PCA64,CondDINO_PCA64,FPR,-0.003713892129533064,-0.007499700906800551,-2.7223076203608636e-05,0.976,A_BETTER
FINAL_vs_COND,M2_plus_CondDINO_PCA64,CondDINO_PCA64,PPV1pct,0.00016660402713700265,-7.822181799030675e-05,0.00041035621981014644,0.9015,NO_95CI_DIFFERENCE
FINAL_vs_COND,M2_plus_CondDINO_PCA64,CondDINO_PCA64,OracleR90FPR,-0.004020417963611126,-0.010491649316514876,0.0031076872535884927,0.8775,NO_95CI_DIFFERENCE
