target_family,method,AUROC,AUPRC,Recall,FPR,PPV1pct,OracleR90FPR
DeepLabV3-R50,M2_backbone,0.7979612448242999,0.6532495408320865,0.8961284230406044,0.6211231324059764,0.014364081835307779,0.635548686244204
DeepLabV3-R50,ImageCLS_PCA64,0.7317048395076864,0.5525704741114342,0.9114258734655335,0.6245234415249871,0.014528149182334226,0.6026790314270996
DeepLabV3-R50,FG_PCA64,0.8287873768133499,0.7231677796022663,0.9108593012275732,0.5117980422462647,0.01766100581013421,0.48181349819680575
DeepLabV3-R50,BG_PCA64,0.7343643138302298,0.5436110340456454,0.9220018885741265,0.6276146316331788,0.014623402611467825,0.5589902112313241
DeepLabV3-R50,CondDINO_PCA64,0.8272753499237906,0.7245513870927678,0.9165250236071767,0.5164348274085523,0.01761262422383275,0.47841318907779495
DeepLabV3-R50,M2_plus_FG_PCA64,0.8308203426969053,0.7259656160677224,0.9136921624173748,0.5074703760947965,0.017865697124699285,0.472952086553323
DeepLabV3-R50,M2_plus_BG_PCA64,0.7522479724098877,0.5681767021682053,0.9254013220018887,0.6093766099948481,0.015112523793253929,0.5542503863987636
DeepLabV3-R50,M2_plus_CondDINO_PCA64,0.8290155430331708,0.7274777993385303,0.9125590179414542,0.510252447192169,0.0177452867339336,0.4798557444616177
PraNet,M2_backbone,0.8517488216726399,0.8601370943562335,0.9130691898285038,0.47624140565317036,0.019001514540303965,0.43896103896103905
PraNet,ImageCLS_PCA64,0.7375789862205836,0.7289372803898446,0.8566528681253697,0.49992360580595874,0.0170203723940948,0.5624140565317036
PraNet,FG_PCA64,0.8688011261705908,0.8938377208149599,0.831933767001774,0.2780748663101604,0.029341840424223165,0.4068754774637128
PraNet,BG_PCA64,0.733034774040792,0.7208233107391138,0.8590183323477232,0.4909090909090909,0.01737503771420613,0.559205500381971
PraNet,CondDINO_PCA64,0.8692412398538256,0.8952597425173909,0.8382022471910112,0.2832696715049656,0.029028017562582553,0.3926661573720397
PraNet,M2_plus_FG_PCA64,0.8688368159478188,0.8932661926626826,0.8286221170904791,0.27700534759358286,0.029349244313014028,0.4021390374331551
PraNet,M2_plus_BG_PCA64,0.7513781449357334,0.7490847500970462,0.8618568894145475,0.481894576012223,0.01774912912932865,0.5469824293353704
PraNet,M2_plus_CondDINO_PCA64,0.8689031356857564,0.8944788421353712,0.8382022471910112,0.28036669213139803,0.029319419051936052,0.38777692895339955
SegFormer-B0,M2_backbone,0.7675251672869813,0.45496676759663346,0.8860795454545455,0.5837108013937283,0.015102386365206083,0.626219512195122
SegFormer-B0,ImageCLS_PCA64,0.7147990823962622,0.39542451210954044,0.9238636363636363,0.6810104529616725,0.01351802612125764,0.6345818815331011
SegFormer-B0,FG_PCA64,0.7825366992001901,0.5010171421951035,0.9349431818181818,0.6385888501742161,0.014573766559085054,0.5607142857142857
SegFormer-B0,BG_PCA64,0.7201077219274628,0.4244504878810223,0.9269886363636364,0.6776132404181185,0.013630705069189824,0.6205574912891986
SegFormer-B0,CondDINO_PCA64,0.7800069166732657,0.5041912549769452,0.934375,0.6409407665505226,0.01451219961818589,0.5506968641114982
SegFormer-B0,M2_plus_FG_PCA64,0.7841020450585999,0.5035584758854698,0.9323863636363636,0.6335365853658537,0.014648780687103407,0.5541811846689896
SegFormer-B0,M2_plus_BG_PCA64,0.7322639917247387,0.4172663340355703,0.9301136363636363,0.6513066202090592,0.014220818157782731,0.5823170731707318
SegFormer-B0,M2_plus_CondDINO_PCA64,0.7817715344868547,0.5062150885642662,0.9360795454545455,0.6389372822299652,0.014583431843736578,0.5459930313588851
