path,relpath,size_bytes,sha256,suffix,category,syntax_ok,route_tokens
F:\MEDSEG_SAFETTA\code\Q1_R10K2A_dinov2_image_mask_representation_lock_fix1.py,code\Q1_R10K2A_dinov2_image_mask_representation_lock_fix1.py,22637,25853e849fecaf847f7ba04dcc2c8b520aa3e248f50af5ac21d19bb0ce4c4778,.py,candidate_final_script,True,Q1_R10K2A
F:\MEDSEG_SAFETTA\code\Q1_R14C0_sunseg_preGT_prediction_runtime_lineage_preflight_fix1.py,code\Q1_R14C0_sunseg_preGT_prediction_runtime_lineage_preflight_fix1.py,14674,9d1b36c19aedb5ac9f8aba5b285fff4fe271e26f47bf842397c331a28a517254,.py,candidate_final_script,True,runtime
F:\MEDSEG_SAFETTA\code\Q1_R14C0_sunseg_preGT_prediction_runtime_lineage_preflight_fix2.py,code\Q1_R14C0_sunseg_preGT_prediction_runtime_lineage_preflight_fix2.py,15448,d7f40cf62f74132775b607aeb3f4dcf6f6c49ba5d771fc9e229ec4aec02df54d,.py,candidate_final_script,True,runtime
F:\MEDSEG_SAFETTA\code\Q1_R14C0_sunseg_preGT_prediction_runtime_lineage_preflight_fix3.py,code\Q1_R14C0_sunseg_preGT_prediction_runtime_lineage_preflight_fix3.py,21037,1acb8c3c9ac6a72d69259dc3096358579aa24c8fcb356561fa1d95732f72aaba,.py,candidate_final_script,True,runtime
F:\MEDSEG_SAFETTA\code\Q1_R14C0_sunseg_preGT_prediction_runtime_lineage_preflight_fix4.py,code\Q1_R14C0_sunseg_preGT_prediction_runtime_lineage_preflight_fix4.py,21101,964a115b86a4e2fc98ab3bf2417468fe60ccda58e4e8e823c719116963123ca4,.py,candidate_final_script,True,runtime
F:\MEDSEG_SAFETTA\code\Q1_R15D0_runtime_computational_overhead_preflight_fix1.py,code\Q1_R15D0_runtime_computational_overhead_preflight_fix1.py,16410,f68f3083ba92cba09697a22bb7dcb7f9960fdfa8c1f2bffdf81e03b7c30882af,.py,candidate_final_script,True,runtime
F:\MEDSEG_SAFETTA\code\Q1_R15D0_runtime_computational_overhead_preflight_fix2.py,code\Q1_R15D0_runtime_computational_overhead_preflight_fix2.py,18373,a74f9555890fda4ddae94326d5db1f72de305b69797c96800ede838ef1ef4d42,.py,candidate_final_script,True,runtime
F:\MEDSEG_SAFETTA\code\Q1_R15D1_runtime_computational_overhead_benchmark_fix1.py,code\Q1_R15D1_runtime_computational_overhead_benchmark_fix1.py,37734,c33412ea1f806609e579e27a16ab41ee695c3b987cbd9f18dcd245decfe3dc00,.py,candidate_final_script,True,runtime
F:\MEDSEG_SAFETTA\code\Q1_SAFETTA_harm_margin_sensitivity_v1.py,code\Q1_SAFETTA_harm_margin_sensitivity_v1.py,5700,37226877f7879554379c5a362ab1042313c738d18624cd424faa45b836ffcbeb,.py,candidate_final_script,True,Q1_SAFETTA_harm_margin_sensitivity
F:\MEDSEG_SAFETTA\code\Q1X_CM0_prostate_mri_data_acquisition_integrity_audit_fix1.py,code\Q1X_CM0_prostate_mri_data_acquisition_integrity_audit_fix1.py,11515,7f98554b3360b3c4c2b514d796158c657f353d80ad4fb8b56b6ae35910b7addd,.py,candidate_final_script,True,Q1X_CM0_
