dataset,source_manifest,model_family,model_state_id,training_seed,checkpoint_claim,checkpoint_sha256_claim,resolved_path,resolution_method,resolved_sha256,sha256_match,resolved
PROMISE12,outputs/Q1X_CM5A_promise12_gt_free_prediction_tent1_safety_scoring_lock_fix1_v1/CM5A_PROMISE12_GT_FREE_PREDICTION_SAFETY_LOCK.json,,,,F:\MEDSEG_SAFETTA\outputs\Q1X_CM4D_final_all_source_segmentation_models_lock_fix1_v1\models\UNet\final.pt,006932908c110b0e16efe58d5d218266d395410263024dcfd612910e325642bb,,,,,False
PROMISE12,outputs/Q1X_CM5A_promise12_gt_free_prediction_tent1_safety_scoring_lock_fix1_v1/CM5A_PROMISE12_GT_FREE_PREDICTION_SAFETY_LOCK.json,,,,F:\MEDSEG_SAFETTA\outputs\Q1X_CM4D_final_all_source_segmentation_models_lock_fix2_v1\models\DeepLabV3_R50\final.pt,03adf2c05250fa65ea25bdfee268734729ec749607559f84fb0b0c7cee07fab0,outputs/Q1X_CM4D_final_all_source_segmentation_models_lock_fix2_v1/models/DeepLabV3_R50/final.pt,EXACT_PATH,03adf2c05250fa65ea25bdfee268734729ec749607559f84fb0b0c7cee07fab0,True,True
PROMISE12,outputs/Q1X_CM5A_promise12_gt_free_prediction_tent1_safety_scoring_lock_fix1_v1/CM5A_PROMISE12_GT_FREE_PREDICTION_SAFETY_LOCK.json,,,,F:\MEDSEG_SAFETTA\outputs\Q1X_CM4D_final_all_source_segmentation_models_lock_fix2_v1\models\SegFormer_B0\final.pt,19271f55a354896f5f27b3705f7f0b5fb4f5a8a3e2cedb8c7dbfba69754669af,outputs/Q1X_CM4D_final_all_source_segmentation_models_lock_fix2_v1/models/SegFormer_B0/final.pt,EXACT_PATH,19271f55a354896f5f27b3705f7f0b5fb4f5a8a3e2cedb8c7dbfba69754669af,True,True
PROMISE12,outputs/Q1X_CM5A_promise12_gt_free_prediction_tent1_safety_scoring_lock_fix1_v1/CM5A_PROMISE12_GT_FREE_PREDICTION_SAFETY_LOCK.json,UNet,,,F:\MEDSEG_SAFETTA\outputs\Q1X_CM4D_final_all_source_segmentation_models_lock_fix1_v1\models\UNet\final.pt,006932908c110b0e16efe58d5d218266d395410263024dcfd612910e325642bb,,,,,False
PROMISE12,outputs/Q1X_CM5A_promise12_gt_free_prediction_tent1_safety_scoring_lock_fix1_v1/CM5A_PROMISE12_GT_FREE_PREDICTION_SAFETY_LOCK.json,DeepLabV3_R50,,,F:\MEDSEG_SAFETTA\outputs\Q1X_CM4D_final_all_source_segmentation_models_lock_fix2_v1\models\DeepLabV3_R50\final.pt,03adf2c05250fa65ea25bdfee268734729ec749607559f84fb0b0c7cee07fab0,outputs/Q1X_CM4D_final_all_source_segmentation_models_lock_fix2_v1/models/DeepLabV3_R50/final.pt,EXACT_PATH,03adf2c05250fa65ea25bdfee268734729ec749607559f84fb0b0c7cee07fab0,True,True
PROMISE12,outputs/Q1X_CM5A_promise12_gt_free_prediction_tent1_safety_scoring_lock_fix1_v1/CM5A_PROMISE12_GT_FREE_PREDICTION_SAFETY_LOCK.json,SegFormer_B0,,,F:\MEDSEG_SAFETTA\outputs\Q1X_CM4D_final_all_source_segmentation_models_lock_fix2_v1\models\SegFormer_B0\final.pt,19271f55a354896f5f27b3705f7f0b5fb4f5a8a3e2cedb8c7dbfba69754669af,outputs/Q1X_CM4D_final_all_source_segmentation_models_lock_fix2_v1/models/SegFormer_B0/final.pt,EXACT_PATH,19271f55a354896f5f27b3705f7f0b5fb4f5a8a3e2cedb8c7dbfba69754669af,True,True
PROMISE12,outputs/Q1X_CM5A_promise12_gt_free_prediction_tent1_safety_scoring_lock_fix1_v1/predictions/DeepLabV3_R50/COMPLETE.json,DeepLabV3_R50,,,F:\MEDSEG_SAFETTA\outputs\Q1X_CM4D_final_all_source_segmentation_models_lock_fix2_v1\models\DeepLabV3_R50\final.pt,03adf2c05250fa65ea25bdfee268734729ec749607559f84fb0b0c7cee07fab0,outputs/Q1X_CM4D_final_all_source_segmentation_models_lock_fix2_v1/models/DeepLabV3_R50/final.pt,EXACT_PATH,03adf2c05250fa65ea25bdfee268734729ec749607559f84fb0b0c7cee07fab0,True,True
PROMISE12,outputs/Q1X_CM5A_promise12_gt_free_prediction_tent1_safety_scoring_lock_fix1_v1/predictions/SegFormer_B0/COMPLETE.json,SegFormer_B0,,,F:\MEDSEG_SAFETTA\outputs\Q1X_CM4D_final_all_source_segmentation_models_lock_fix2_v1\models\SegFormer_B0\final.pt,19271f55a354896f5f27b3705f7f0b5fb4f5a8a3e2cedb8c7dbfba69754669af,outputs/Q1X_CM4D_final_all_source_segmentation_models_lock_fix2_v1/models/SegFormer_B0/final.pt,EXACT_PATH,19271f55a354896f5f27b3705f7f0b5fb4f5a8a3e2cedb8c7dbfba69754669af,True,True
PROMISE12,outputs/Q1X_CM5A_promise12_gt_free_prediction_tent1_safety_scoring_lock_fix1_v1/predictions/UNet/COMPLETE.json,UNet,,,F:\MEDSEG_SAFETTA\outputs\Q1X_CM4D_final_all_source_segmentation_models_lock_fix1_v1\models\UNet\final.pt,006932908c110b0e16efe58d5d218266d395410263024dcfd612910e325642bb,,,,,False
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix1_v1__building/checkpoint_manifest.csv,PraNet,PraNet::20260817,20260817,F:\MEDSEG_SAFETTA\outputs\S01_B_pranet_source_only_seed20260817_v1\checkpoints\best_source_val_dice.pt,ef623c0f1207bab02377ec17932db43fe2fd1843dca858cc79ef87ead29b975a,outputs/S01_B_pranet_source_only_seed20260817_v1/checkpoints/best_source_val_dice.pt,EXACT_PATH,ef623c0f1207bab02377ec17932db43fe2fd1843dca858cc79ef87ead29b975a,True,True
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix1_v1__building/checkpoint_manifest.csv,PraNet,PraNet::20260818,20260818,F:\MEDSEG_SAFETTA\outputs\S01_B_pranet_source_only_seed20260818_v1\checkpoints\best_source_val_dice.pt,e56dd8ba4b5fc7785fedf3918c275427178fadb5f035b47087d48cde41ccec22,outputs/S01_B_pranet_source_only_seed20260818_v1/checkpoints/best_source_val_dice.pt,EXACT_PATH,e56dd8ba4b5fc7785fedf3918c275427178fadb5f035b47087d48cde41ccec22,True,True
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix1_v1__building/checkpoint_manifest.csv,PraNet,PraNet::20260819,20260819,F:\MEDSEG_SAFETTA\outputs\S01_B_pranet_source_only_seed20260819_v1\checkpoints\best_source_val_dice.pt,f8cad00bbc9bbbff04c9a29547bd2a5f3beb97d53980c269cf4b7d2c30130b72,outputs/S01_B_pranet_source_only_seed20260819_v1/checkpoints/best_source_val_dice.pt,EXACT_PATH,f8cad00bbc9bbbff04c9a29547bd2a5f3beb97d53980c269cf4b7d2c30130b72,True,True
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix1_v1__building/checkpoint_manifest.csv,DeepLabV3-R50,DeepLabV3-R50::20260817,20260817,F:\MEDSEG_SAFETTA\outputs\S05_B_deeplabv3_r50_source_only_seed20260817_v1\checkpoints\best_source_val_dice.pt,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,outputs/S05_B_deeplabv3_r50_source_only_seed20260817_v1/checkpoints/best_source_val_dice.pt,EXACT_PATH,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,True,True
