dataset,path,rows,columns,priority
PROMISE12,outputs/Q1X_CM2A_prostate158_official_manifest_t2_resolver_and_slice_preflight_fix3_v1/CM2A_PROMISE12_IMAGE_ONLY_PATIENT_MANIFEST.csv,50,patient_id|case_id|image_mhd|image_raw|dim_x|dim_y|dim_z|element_type|element_spacing,99
PROMISE12,outputs/Q1X_CM2A_prostate158_official_manifest_t2_resolver_and_slice_preflight_fix3_v1/CM2A_PROMISE12_IMAGE_ONLY_SLICE_MANIFEST.csv,1377,sample_id|patient_id|case_id|slice_axis|slice_index|image_mhd|image_raw|dim_x|dim_y|dim_z|gt_used_for_manifest,99
PROMISE12,outputs/Q1X_CM5A_promise12_gt_free_prediction_tent1_safety_scoring_lock_fix1_v1/target_image_only_cache/promise12_image_only_slices.csv,1377,global_index|case_id|case_key|slice_index,100
PROMISE12,outputs/Q1X_CM5A_promise12_gt_free_prediction_tent1_safety_scoring_lock_fix1_v1/target_image_only_cache/promise12_image_only_volumes.csv,50,case_id|case_key|dim_x|dim_y|dim_z|spacing_x|spacing_y|spacing_z|q005|q995|resampled_y|resampled_x,100
PolypGen,outputs/Q1_R10L1B_polypgen_unique_static_manifest_lock_fix1_v1/R10L1B_duplicate_groups.csv,2,rgb_sha256|center|sample_id|image_path|gt_path|gt_sha256|group_rows|group_unique_gt_hashes,0
PolypGen,outputs/Q1_R10L1B_polypgen_unique_static_manifest_lock_fix2_v1/R10L1B_duplicate_groups.csv,4,rgb_sha256|center|sample_id|image_path|gt_path|gt_sha256|group_rows|group_unique_gt_hashes,0
PolypGen,outputs/Q1_R10L1B_polypgen_unique_static_manifest_lock_fix2_v1/R10L1B_exact_duplicate_exclusions.csv,4,center|sample_id|image_path|gt_path|rgb_sha256|gt_sha256|reason|retained_representative_sample_id,0
PolypGen,outputs/Q1_R10L1B_polypgen_unique_static_manifest_lock_fix2_v1/R10L1B_POLYPGEN_UNIQUE_STATIC_MANIFEST.csv,1532,external_case_id|center|sample_id|image_path|gt_path|image_sha256|image_sha256|gt_sha256|pair_key|readable|image_width|image_height|image_mode|gt_width|gt_height|gt_mode|same_size|error|exact_duplicate_of_neopolyp|duplicate_within_polypgen_static,0
PolypGen,outputs/Q1_R10L1B_polypgen_unique_static_manifest_lock_fix3_v1/R10L1B_duplicate_groups.csv,4,rgb_sha256|center|sample_id|image_path|gt_path|gt_sha256|group_rows|group_unique_gt_hashes,0
PolypGen,outputs/Q1_R10L1B_polypgen_unique_static_manifest_lock_fix3_v1/R10L1B_exact_duplicate_exclusions.csv,4,center|sample_id|image_path|gt_path|rgb_sha256|gt_sha256|reason|retained_representative_sample_id,0
PolypGen,outputs/Q1_R10L1B_polypgen_unique_static_manifest_lock_fix3_v1/R10L1B_POLYPGEN_UNIQUE_STATIC_MANIFEST.csv,1532,external_case_id|center|sample_id|image_path|gt_path|image_sha256|gt_sha256|pair_key|readable|image_width|image_height|image_mode|gt_width|gt_height|gt_mode|same_size|error|exact_duplicate_of_neopolyp|duplicate_within_polypgen_static,0
PolypGen,outputs/Q1_R10L1_polypgen_external_cohort_asset_audit_fix1_v1/R10L1_ambiguous_or_unpaired_keys.csv,2200,pair_key|image_count|mask_count|image_path|mask_path|unique_pair,0
PolypGen,outputs/Q1_R10L1_polypgen_official_singleframe_asset_audit_fix2_v1/R10L1_polypgen_official_singleframe_manifest.csv,1536,center|sample_id|pair_key|image_path|gt_path|readable|image_width|image_height|image_mode|gt_width|gt_height|gt_mode|same_size|error|image_sha256|exact_duplicate_of_neopolyp|duplicate_within_polypgen_static,0
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix1_v1__building/frozen_polypgen_rgb_manifest_no_gt.csv,1532,sample_id|original_polypgen_sample_id|center|image_path|image_raw_sha256,98
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix1_v1__building/state_predictions/deeplabv3_r50_seed20260817_index.csv,1532,row_index|sample_id|image_path|image_raw_sha256|model_family|model_state_id|training_seed|checkpoint_sha256|source_foreground_pixels|a1_foreground_pixels|changed_pixels,98
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix1_v1__building/state_predictions/deeplabv3_r50_seed20260818_index.csv,1532,row_index|sample_id|image_path|image_raw_sha256|model_family|model_state_id|training_seed|checkpoint_sha256|source_foreground_pixels|a1_foreground_pixels|changed_pixels,98
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix1_v1__building/state_predictions/deeplabv3_r50_seed20260819_index.csv,1532,row_index|sample_id|image_path|image_raw_sha256|model_family|model_state_id|training_seed|checkpoint_sha256|source_foreground_pixels|a1_foreground_pixels|changed_pixels,98
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix1_v1__building/state_predictions/pranet_seed20260817_index.csv,1532,row_index|sample_id|image_path|image_raw_sha256|model_family|model_state_id|training_seed|checkpoint_sha256|source_foreground_pixels|a1_foreground_pixels|changed_pixels,98
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix1_v1__building/state_predictions/pranet_seed20260818_index.csv,1532,row_index|sample_id|image_path|image_raw_sha256|model_family|model_state_id|training_seed|checkpoint_sha256|source_foreground_pixels|a1_foreground_pixels|changed_pixels,98
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix1_v1__building/state_predictions/pranet_seed20260819_index.csv,1532,row_index|sample_id|image_path|image_raw_sha256|model_family|model_state_id|training_seed|checkpoint_sha256|source_foreground_pixels|a1_foreground_pixels|changed_pixels,98
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/frozen_polypgen_rgb_manifest_no_gt.csv,1532,sample_id|original_polypgen_sample_id|center|image_path|image_raw_sha256,99
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/model_case_prediction_manifest.csv,13788,sample_id|center|original_polypgen_sample_id|image_path|image_raw_sha256|model_family|model_state_id|training_seed|checkpoint_sha256|state_prediction_npz|state_index_csv|state_lock_json|state_row_index|source_foreground_pixels|a1_foreground_pixels|changed_pixels,99
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/state_predictions/deeplabv3_r50_seed20260817_index.csv,1532,row_index|sample_id|image_path|image_raw_sha256|model_family|model_state_id|training_seed|checkpoint_sha256|source_foreground_pixels|a1_foreground_pixels|changed_pixels,99
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/state_predictions/deeplabv3_r50_seed20260818_index.csv,1532,row_index|sample_id|image_path|image_raw_sha256|model_family|model_state_id|training_seed|checkpoint_sha256|source_foreground_pixels|a1_foreground_pixels|changed_pixels,99
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/state_predictions/deeplabv3_r50_seed20260819_index.csv,1532,row_index|sample_id|image_path|image_raw_sha256|model_family|model_state_id|training_seed|checkpoint_sha256|source_foreground_pixels|a1_foreground_pixels|changed_pixels,99
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/state_predictions/pranet_seed20260817_index.csv,1532,row_index|sample_id|image_path|image_raw_sha256|model_family|model_state_id|training_seed|checkpoint_sha256|source_foreground_pixels|a1_foreground_pixels|changed_pixels,99
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/state_predictions/pranet_seed20260818_index.csv,1532,row_index|sample_id|image_path|image_raw_sha256|model_family|model_state_id|training_seed|checkpoint_sha256|source_foreground_pixels|a1_foreground_pixels|changed_pixels,99
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/state_predictions/pranet_seed20260819_index.csv,1532,row_index|sample_id|image_path|image_raw_sha256|model_family|model_state_id|training_seed|checkpoint_sha256|source_foreground_pixels|a1_foreground_pixels|changed_pixels,99
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/state_predictions/segformer_b0_seed20260820_index.csv,1532,row_index|sample_id|image_path|image_raw_sha256|model_family|model_state_id|training_seed|checkpoint_sha256|source_foreground_pixels|a1_foreground_pixels|changed_pixels,99
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/state_predictions/segformer_b0_seed20260821_index.csv,1532,row_index|sample_id|image_path|image_raw_sha256|model_family|model_state_id|training_seed|checkpoint_sha256|source_foreground_pixels|a1_foreground_pixels|changed_pixels,99
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/state_predictions/segformer_b0_seed20260822_index.csv,1532,row_index|sample_id|image_path|image_raw_sha256|model_family|model_state_id|training_seed|checkpoint_sha256|source_foreground_pixels|a1_foreground_pixels|changed_pixels,99
