dataset,path,member,size_bytes,size_human,shape,dtype,header_status,signal_class,priority
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/pranet_seed20260817/locked_logits.npz,source_logits.npy,534054045,509.31 MiB,"[1537, 352, 352]",float16,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/pranet_seed20260817/locked_logits.npz,tent_logits.npy,534054045,509.31 MiB,"[1537, 352, 352]",float16,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/pranet_seed20260817/locked_logits.npz,external_ids.npy,534054045,509.31 MiB,[1537],<U36,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/pranet_seed20260817/locked_logits.npz,centers.npy,534054045,509.31 MiB,[1537],<U2,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/pranet_seed20260817/locked_logits.npz,image_members.npy,534054045,509.31 MiB,[1537],<U82,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/pranet_seed20260817/locked_logits.npz,architecture.npy,534054045,509.31 MiB,[1],<U6,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/pranet_seed20260817/locked_logits.npz,seed.npy,534054045,509.31 MiB,[1],int64,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/pranet_seed20260817/locked_logits.npz,gate_artifact_sha256.npy,534054045,509.31 MiB,[1],<U64,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/pranet_seed20260817/locked_logits.npz,protocol_sha256.npy,534054045,509.31 MiB,[1],<U64,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/pranet_seed20260817/locked_logits.npz,archive_sha256.npy,534054045,509.31 MiB,[1],<U64,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/pranet_seed20260817/locked_logits.npz,eligibility_manifest_sha256.npy,534054045,509.31 MiB,[1],<U64,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/pranet_seed20260819/locked_logits.npz,source_logits.npy,531140883,506.54 MiB,"[1537, 352, 352]",float16,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/pranet_seed20260819/locked_logits.npz,tent_logits.npy,531140883,506.54 MiB,"[1537, 352, 352]",float16,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/pranet_seed20260819/locked_logits.npz,external_ids.npy,531140883,506.54 MiB,[1537],<U36,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/pranet_seed20260819/locked_logits.npz,centers.npy,531140883,506.54 MiB,[1537],<U2,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/pranet_seed20260819/locked_logits.npz,image_members.npy,531140883,506.54 MiB,[1537],<U82,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/pranet_seed20260819/locked_logits.npz,architecture.npy,531140883,506.54 MiB,[1],<U6,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/pranet_seed20260819/locked_logits.npz,seed.npy,531140883,506.54 MiB,[1],int64,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/pranet_seed20260819/locked_logits.npz,gate_artifact_sha256.npy,531140883,506.54 MiB,[1],<U64,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/pranet_seed20260819/locked_logits.npz,protocol_sha256.npy,531140883,506.54 MiB,[1],<U64,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/pranet_seed20260819/locked_logits.npz,archive_sha256.npy,531140883,506.54 MiB,[1],<U64,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/pranet_seed20260819/locked_logits.npz,eligibility_manifest_sha256.npy,531140883,506.54 MiB,[1],<U64,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/pranet_seed20260818/locked_logits.npz,source_logits.npy,523345825,499.10 MiB,"[1537, 352, 352]",float16,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/pranet_seed20260818/locked_logits.npz,tent_logits.npy,523345825,499.10 MiB,"[1537, 352, 352]",float16,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/pranet_seed20260818/locked_logits.npz,external_ids.npy,523345825,499.10 MiB,[1537],<U36,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/pranet_seed20260818/locked_logits.npz,centers.npy,523345825,499.10 MiB,[1537],<U2,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/pranet_seed20260818/locked_logits.npz,image_members.npy,523345825,499.10 MiB,[1537],<U82,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/pranet_seed20260818/locked_logits.npz,architecture.npy,523345825,499.10 MiB,[1],<U6,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/pranet_seed20260818/locked_logits.npz,seed.npy,523345825,499.10 MiB,[1],int64,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/pranet_seed20260818/locked_logits.npz,gate_artifact_sha256.npy,523345825,499.10 MiB,[1],<U64,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/pranet_seed20260818/locked_logits.npz,protocol_sha256.npy,523345825,499.10 MiB,[1],<U64,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/pranet_seed20260818/locked_logits.npz,archive_sha256.npy,523345825,499.10 MiB,[1],<U64,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/pranet_seed20260818/locked_logits.npz,eligibility_manifest_sha256.npy,523345825,499.10 MiB,[1],<U64,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/deeplab_seed20260817/locked_logits.npz,source_logits.npy,467247880,445.60 MiB,"[1537, 352, 352]",float16,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/deeplab_seed20260817/locked_logits.npz,tent_logits.npy,467247880,445.60 MiB,"[1537, 352, 352]",float16,OK,SOFT_LOGIT_OR_PROB,100
