dataset,path,member,size_bytes,size_human,shape,dtype,header_status,signal_class,route_priority
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix1_v1/source_cache/source_images_f16.npy,,880461952,839.67 MiB,"[3553, 352, 352]",float16,OK,UNKNOWN_HIGH_DIM_ARRAY,0
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix2_v1/source_cache/source_images_f16.npy,,880461952,839.67 MiB,"[3553, 352, 352]",float16,OK,UNKNOWN_HIGH_DIM_ARRAY,0
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/CM3_DeepLabV3_R50_OOF_PROB_F16.npy,,880461952,839.67 MiB,"[3553, 352, 352]",float16,OK,SOFT_LOGIT_OR_PROB_CANDIDATE,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/CM3_SegFormer_B0_OOF_PROB_F16.npy,,880461952,839.67 MiB,"[3553, 352, 352]",float16,OK,SOFT_LOGIT_OR_PROB_CANDIDATE,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/CM3_UNet_OOF_PROB_F16.npy,,880461952,839.67 MiB,"[3553, 352, 352]",float16,OK,SOFT_LOGIT_OR_PROB_CANDIDATE,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix1_v1/source_cache/source_masks_u8.npy,,440231040,419.84 MiB,"[3553, 352, 352]",uint8,OK,HARD_OR_MASK_LIKE,0
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix2_v1/source_cache/source_masks_u8.npy,,440231040,419.84 MiB,"[3553, 352, 352]",uint8,OK,HARD_OR_MASK_LIKE,0
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/CM3_DeepLabV3_R50_OOF_MASK_U8.npy,,440231040,419.84 MiB,"[3553, 352, 352]",uint8,OK,HARD_OR_MASK_LIKE,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/CM3_SegFormer_B0_OOF_MASK_U8.npy,,440231040,419.84 MiB,"[3553, 352, 352]",uint8,OK,HARD_OR_MASK_LIKE,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/CM3_UNet_OOF_MASK_U8.npy,,440231040,419.84 MiB,"[3553, 352, 352]",uint8,OK,HARD_OR_MASK_LIKE,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold2/best_oof_prob_f16.npy,,179165312,170.87 MiB,"[723, 352, 352]",float16,OK,SOFT_LOGIT_OR_PROB_CANDIDATE,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold2/best_oof_prob_f16.npy,,179165312,170.87 MiB,"[723, 352, 352]",float16,OK,SOFT_LOGIT_OR_PROB_CANDIDATE,100
