path,datasets,signal_type,size_bytes,size_human,format,shape,dtype,keys,member_meta,status
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix1_v1/source_cache/source_images_f16.npy,Prostate158,HARD_OR_UNKNOWN,880461952,839.67 MiB,npy,"[3553, 352, 352]",float16,,,OK
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix2_v1/source_cache/source_images_f16.npy,Prostate158,HARD_OR_UNKNOWN,880461952,839.67 MiB,npy,"[3553, 352, 352]",float16,,,OK
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/CM3_DeepLabV3_R50_OOF_PROB_F16.npy,Prostate158,SOFT_CANDIDATE,880461952,839.67 MiB,npy,"[3553, 352, 352]",float16,,,OK
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/CM3_SegFormer_B0_OOF_PROB_F16.npy,Prostate158,SOFT_CANDIDATE,880461952,839.67 MiB,npy,"[3553, 352, 352]",float16,,,OK
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/CM3_UNet_OOF_PROB_F16.npy,Prostate158,SOFT_CANDIDATE,880461952,839.67 MiB,npy,"[3553, 352, 352]",float16,,,OK
outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/pranet_seed20260817/locked_logits.npz,PolypGen,SOFT_CANDIDATE,534054045,509.31 MiB,npz,,,source_logits|tent_logits|external_ids|centers|image_members|architecture|seed|gate_artifact_sha256|protocol_sha256|archive_sha256|eligibility_manifest_sha256,"source_logits:shape=(1537, 352, 352),dtype=float16 | tent_logits:shape=(1537, 352, 352),dtype=float16 | external_ids:shape=(1537,),dtype=<U36 | centers:shape=(1537,),dtype=<U2 | image_members:shape=(1537,),dtype=<U82 | architecture:shape=(1,),dtype=<U6 | seed:shape=(1,),dtype=int64 | gate_artifact_sha256:shape=(1,),dtype=<U64 | protocol_sha256:shape=(1,),dtype=<U64 | archive_sha256:shape=(1,),dtype=<U64 | eligibility_manifest_sha256:shape=(1,),dtype=<U64",OK
outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/pranet_seed20260819/locked_logits.npz,PolypGen,SOFT_CANDIDATE,531140883,506.54 MiB,npz,,,source_logits|tent_logits|external_ids|centers|image_members|architecture|seed|gate_artifact_sha256|protocol_sha256|archive_sha256|eligibility_manifest_sha256,"source_logits:shape=(1537, 352, 352),dtype=float16 | tent_logits:shape=(1537, 352, 352),dtype=float16 | external_ids:shape=(1537,),dtype=<U36 | centers:shape=(1537,),dtype=<U2 | image_members:shape=(1537,),dtype=<U82 | architecture:shape=(1,),dtype=<U6 | seed:shape=(1,),dtype=int64 | gate_artifact_sha256:shape=(1,),dtype=<U64 | protocol_sha256:shape=(1,),dtype=<U64 | archive_sha256:shape=(1,),dtype=<U64 | eligibility_manifest_sha256:shape=(1,),dtype=<U64",OK
outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/pranet_seed20260818/locked_logits.npz,PolypGen,SOFT_CANDIDATE,523345825,499.10 MiB,npz,,,source_logits|tent_logits|external_ids|centers|image_members|architecture|seed|gate_artifact_sha256|protocol_sha256|archive_sha256|eligibility_manifest_sha256,"source_logits:shape=(1537, 352, 352),dtype=float16 | tent_logits:shape=(1537, 352, 352),dtype=float16 | external_ids:shape=(1537,),dtype=<U36 | centers:shape=(1537,),dtype=<U2 | image_members:shape=(1537,),dtype=<U82 | architecture:shape=(1,),dtype=<U6 | seed:shape=(1,),dtype=int64 | gate_artifact_sha256:shape=(1,),dtype=<U64 | protocol_sha256:shape=(1,),dtype=<U64 | archive_sha256:shape=(1,),dtype=<U64 | eligibility_manifest_sha256:shape=(1,),dtype=<U64",OK
outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/deeplab_seed20260817/locked_logits.npz,PolypGen,SOFT_CANDIDATE,467247880,445.60 MiB,npz,,,source_logits|tent_logits|external_ids|centers|image_members|architecture|seed|gate_artifact_sha256|protocol_sha256|archive_sha256|eligibility_manifest_sha256,"source_logits:shape=(1537, 352, 352),dtype=float16 | tent_logits:shape=(1537, 352, 352),dtype=float16 | external_ids:shape=(1537,),dtype=<U36 | centers:shape=(1537,),dtype=<U2 | image_members:shape=(1537,),dtype=<U82 | architecture:shape=(1,),dtype=<U7 | seed:shape=(1,),dtype=int64 | gate_artifact_sha256:shape=(1,),dtype=<U64 | protocol_sha256:shape=(1,),dtype=<U64 | archive_sha256:shape=(1,),dtype=<U64 | eligibility_manifest_sha256:shape=(1,),dtype=<U64",OK
outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/deeplab_seed20260819/locked_logits.npz,PolypGen,SOFT_CANDIDATE,458981429,437.72 MiB,npz,,,source_logits|tent_logits|external_ids|centers|image_members|architecture|seed|gate_artifact_sha256|protocol_sha256|archive_sha256|eligibility_manifest_sha256,"source_logits:shape=(1537, 352, 352),dtype=float16 | tent_logits:shape=(1537, 352, 352),dtype=float16 | external_ids:shape=(1537,),dtype=<U36 | centers:shape=(1537,),dtype=<U2 | image_members:shape=(1537,),dtype=<U82 | architecture:shape=(1,),dtype=<U7 | seed:shape=(1,),dtype=int64 | gate_artifact_sha256:shape=(1,),dtype=<U64 | protocol_sha256:shape=(1,),dtype=<U64 | archive_sha256:shape=(1,),dtype=<U64 | eligibility_manifest_sha256:shape=(1,),dtype=<U64",OK
outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/deeplab_seed20260818/locked_logits.npz,PolypGen,SOFT_CANDIDATE,445600607,424.96 MiB,npz,,,source_logits|tent_logits|external_ids|centers|image_members|architecture|seed|gate_artifact_sha256|protocol_sha256|archive_sha256|eligibility_manifest_sha256,"source_logits:shape=(1537, 352, 352),dtype=float16 | tent_logits:shape=(1537, 352, 352),dtype=float16 | external_ids:shape=(1537,),dtype=<U36 | centers:shape=(1537,),dtype=<U2 | image_members:shape=(1537,),dtype=<U82 | architecture:shape=(1,),dtype=<U7 | seed:shape=(1,),dtype=int64 | gate_artifact_sha256:shape=(1,),dtype=<U64 | protocol_sha256:shape=(1,),dtype=<U64 | archive_sha256:shape=(1,),dtype=<U64 | eligibility_manifest_sha256:shape=(1,),dtype=<U64",OK
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix1_v1/source_cache/source_masks_u8.npy,Prostate158,HARD_OR_UNKNOWN,440231040,419.84 MiB,npy,"[3553, 352, 352]",uint8,,,OK
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix2_v1/source_cache/source_masks_u8.npy,Prostate158,HARD_OR_UNKNOWN,440231040,419.84 MiB,npy,"[3553, 352, 352]",uint8,,,OK
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/CM3_DeepLabV3_R50_OOF_MASK_U8.npy,Prostate158,HARD_OR_UNKNOWN,440231040,419.84 MiB,npy,"[3553, 352, 352]",uint8,,,OK
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/CM3_SegFormer_B0_OOF_MASK_U8.npy,Prostate158,HARD_OR_UNKNOWN,440231040,419.84 MiB,npy,"[3553, 352, 352]",uint8,,,OK
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/CM3_UNet_OOF_MASK_U8.npy,Prostate158,HARD_OR_UNKNOWN,440231040,419.84 MiB,npy,"[3553, 352, 352]",uint8,,,OK
outputs/Q1X_CM5A_promise12_gt_free_prediction_tent1_safety_scoring_lock_fix1_v1/target_image_only_cache/promise12_images_f16.npy,PROMISE12,HARD_OR_UNKNOWN,341231744,325.42 MiB,npy,"[1377, 352, 352]",float16,,,OK
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold2/best_oof_prob_f16.npy,Prostate158,SOFT_CANDIDATE,179165312,170.87 MiB,npy,"[723, 352, 352]",float16,,,OK
