candidate_path,code_reference_count,code_reference_examples
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/CM3_DeepLabV3_R50_OOF_PROB_F16.npy,0,
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/CM3_SegFormer_B0_OOF_PROB_F16.npy,0,
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/CM3_UNet_OOF_PROB_F16.npy,0,
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold0/best_oof_prob_f16.npy,4,code/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix1.py | code/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix2.py | code/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3.py | release/SafeTTA_clean_test_v102/experiments/mri_prostate_promise/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3.py
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold1/best_oof_prob_f16.npy,4,code/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix1.py | code/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix2.py | code/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3.py | release/SafeTTA_clean_test_v102/experiments/mri_prostate_promise/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3.py
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold2/best_oof_prob_f16.npy,4,code/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix1.py | code/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix2.py | code/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3.py | release/SafeTTA_clean_test_v102/experiments/mri_prostate_promise/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3.py
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold3/best_oof_prob_f16.npy,4,code/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix1.py | code/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix2.py | code/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3.py | release/SafeTTA_clean_test_v102/experiments/mri_prostate_promise/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3.py
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold4/best_oof_prob_f16.npy,4,code/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix1.py | code/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix2.py | code/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3.py | release/SafeTTA_clean_test_v102/experiments/mri_prostate_promise/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3.py
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold0/best_oof_prob_f16.npy,4,code/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix1.py | code/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix2.py | code/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3.py | release/SafeTTA_clean_test_v102/experiments/mri_prostate_promise/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3.py
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold1/best_oof_prob_f16.npy,4,code/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix1.py | code/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix2.py | code/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3.py | release/SafeTTA_clean_test_v102/experiments/mri_prostate_promise/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3.py
