path,datasets,size_bytes,size_human
outputs/S05_B_deeplabv3_r50_source_only_seed20260817_v1/checkpoints/best_source_val_dice.pt,,476122922,454.07 MiB
outputs/S05_B_deeplabv3_r50_source_only_seed20260818_v1/checkpoints/best_source_val_dice.pt,,476122922,454.07 MiB
outputs/S05_B_deeplabv3_r50_source_only_seed20260819_v1/checkpoints/best_source_val_dice.pt,,476122922,454.07 MiB
outputs/Q1X_CM4D_final_all_source_segmentation_models_lock_fix2_v1/models/DeepLabV3_R50/last.pt,Prostate158,476085211,454.03 MiB
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold1/last.pt,Prostate158,476082528,454.03 MiB
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold2/last.pt,Prostate158,476082336,454.03 MiB
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold3/last.pt,Prostate158,476081760,454.03 MiB
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold0/last.pt,Prostate158,476081120,454.03 MiB
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold4/last.pt,Prostate158,476080928,454.03 MiB
outputs/S01_B_pranet_source_only_seed20260817_v1/checkpoints/best_source_val_dice.pt,,375165450,357.79 MiB
outputs/S01_B_pranet_source_only_seed20260818_v1/checkpoints/best_source_val_dice.pt,,375165450,357.79 MiB
outputs/S01_B_pranet_source_only_seed20260819_v1/checkpoints/best_source_val_dice.pt,,375165450,357.79 MiB
outputs/Q1_R08B1_mnms_heterogeneous_source_only_panel_v1/A_to_B/deeplabv3_r50/seed_20260820/best_model.pt,,158890408,151.53 MiB
outputs/Q1_R08B1_mnms_heterogeneous_source_only_panel_v1/A_to_B/deeplabv3_r50/seed_20260821/best_model.pt,,158890408,151.53 MiB
outputs/Q1_R08B1_mnms_heterogeneous_source_only_panel_v1/B_to_A/deeplabv3_r50/seed_20260820/best_model.pt,,158890408,151.53 MiB
outputs/Q1_R08B1_mnms_heterogeneous_source_only_panel_v1/B_to_A/deeplabv3_r50/seed_20260821/best_model.pt,,158890408,151.53 MiB
outputs/Q1_R08B0_mnms_source_only_deeplab_pilot_v1/A_to_B/best_model.pt,,158890344,151.53 MiB
outputs/Q1_R08B0_mnms_source_only_deeplab_pilot_v1/B_to_A/best_model.pt,,158890344,151.53 MiB
outputs/Q1_R08B1_mnms_heterogeneous_source_only_panel_v1/A_to_B/deeplabv3_r50/seed_20260819/best_model.pt,,158890344,151.53 MiB
outputs/Q1_R08B1_mnms_heterogeneous_source_only_panel_v1/B_to_A/deeplabv3_r50/seed_20260819/best_model.pt,,158890344,151.53 MiB
outputs/Q1X_CM4D_final_all_source_segmentation_models_lock_fix2_v1/models/DeepLabV3_R50/final.pt,Prostate158,158867074,151.51 MiB
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold0/best.pt,Prostate158,158866260,151.51 MiB
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold1/best.pt,Prostate158,158866260,151.51 MiB
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold2/best.pt,Prostate158,158866260,151.51 MiB
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold3/best.pt,Prostate158,158866260,151.51 MiB
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold4/best.pt,Prostate158,158866260,151.51 MiB
outputs/Q1_R08B1_mnms_heterogeneous_source_only_panel_v1/A_to_B/fcn_r50/seed_20260819/best_model.pt,,132122436,126.00 MiB
outputs/Q1_R08B1_mnms_heterogeneous_source_only_panel_v1/A_to_B/fcn_r50/seed_20260820/best_model.pt,,132122436,126.00 MiB
outputs/Q1_R08B1_mnms_heterogeneous_source_only_panel_v1/A_to_B/fcn_r50/seed_20260821/best_model.pt,,132122436,126.00 MiB
outputs/Q1_R08B1_mnms_heterogeneous_source_only_panel_v1/B_to_A/fcn_r50/seed_20260819/best_model.pt,,132122436,126.00 MiB
outputs/Q1_R08B1_mnms_heterogeneous_source_only_panel_v1/B_to_A/fcn_r50/seed_20260820/best_model.pt,,132122436,126.00 MiB
outputs/Q1_R08B1_mnms_heterogeneous_source_only_panel_v1/B_to_A/fcn_r50/seed_20260821/best_model.pt,,132122436,126.00 MiB
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold4/last.pt,Prostate158,93274894,88.95 MiB
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold0/last.pt,Prostate158,93274254,88.95 MiB
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold3/last.pt,Prostate158,93273806,88.95 MiB
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold1/last.pt,Prostate158,93273422,88.95 MiB
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold2/last.pt,Prostate158,93273102,88.95 MiB
outputs/Q1X_CM4D_final_all_source_segmentation_models_lock_fix2_v1/models/SegFormer_B0/last.pt,Prostate158,44809092,42.73 MiB
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold4/last.pt,Prostate158,44806345,42.73 MiB
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold2/last.pt,Prostate158,44806281,42.73 MiB
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold0/last.pt,Prostate158,44806217,42.73 MiB
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold1/last.pt,Prostate158,44805833,42.73 MiB
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold3/last.pt,Prostate158,44805385,42.73 MiB
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold0/best.pt,Prostate158,31107416,29.67 MiB
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold1/best.pt,Prostate158,31107416,29.67 MiB
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold2/best.pt,Prostate158,31107416,29.67 MiB
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold3/best.pt,Prostate158,31107416,29.67 MiB
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold4/best.pt,Prostate158,31107416,29.67 MiB
outputs/Q1_R08B1_mnms_heterogeneous_source_only_panel_v1/A_to_B/segformer_b0/seed_20260819/best_model.pt,,14946894,14.25 MiB
outputs/Q1_R08B1_mnms_heterogeneous_source_only_panel_v1/A_to_B/segformer_b0/seed_20260820/best_model.pt,,14946894,14.25 MiB
outputs/Q1_R08B1_mnms_heterogeneous_source_only_panel_v1/A_to_B/segformer_b0/seed_20260821/best_model.pt,,14946894,14.25 MiB
outputs/Q1_R08B1_mnms_heterogeneous_source_only_panel_v1/B_to_A/segformer_b0/seed_20260819/best_model.pt,,14946894,14.25 MiB
outputs/Q1_R08B1_mnms_heterogeneous_source_only_panel_v1/B_to_A/segformer_b0/seed_20260820/best_model.pt,,14946894,14.25 MiB
outputs/Q1_R08B1_mnms_heterogeneous_source_only_panel_v1/B_to_A/segformer_b0/seed_20260821/best_model.pt,,14946894,14.25 MiB
outputs/Q1_R02_segformer_b0_three_seed_source_training_v1_fix7/seed_20260820/best_model_state.pt,,14930694,14.24 MiB
outputs/Q1_R02_segformer_b0_three_seed_source_training_v1_fix7/seed_20260820/last_model_state.pt,,14930694,14.24 MiB
outputs/Q1_R02_segformer_b0_three_seed_source_training_v1_fix7/seed_20260821/best_model_state.pt,,14930694,14.24 MiB
outputs/Q1_R02_segformer_b0_three_seed_source_training_v1_fix7/seed_20260821/last_model_state.pt,,14930694,14.24 MiB
outputs/Q1_R02_segformer_b0_three_seed_source_training_v1_fix7/seed_20260822/best_model_state.pt,,14930694,14.24 MiB
outputs/Q1_R02_segformer_b0_three_seed_source_training_v1_fix7/seed_20260822/last_model_state.pt,,14930694,14.24 MiB
outputs/Q1X_CM4D_final_all_source_segmentation_models_lock_fix2_v1/models/SegFormer_B0/final.pt,Prostate158,14930090,14.24 MiB
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold0/best.pt,Prostate158,14929494,14.24 MiB
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold1/best.pt,Prostate158,14929494,14.24 MiB
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold2/best.pt,Prostate158,14929494,14.24 MiB
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold3/best.pt,Prostate158,14929494,14.24 MiB
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold4/best.pt,Prostate158,14929494,14.24 MiB
outputs/S07_F_pranet_scrr_source_grouped_oof_feasibility_v1_fix1/fold_checkpoints/scrr_fold0_epoch30.pt,,249866,244.01 KiB
outputs/S07_F_pranet_scrr_source_grouped_oof_feasibility_v1_fix1/fold_checkpoints/scrr_fold1_epoch30.pt,,249866,244.01 KiB
outputs/S07_F_pranet_scrr_source_grouped_oof_feasibility_v1_fix1/fold_checkpoints/scrr_fold2_epoch30.pt,,249866,244.01 KiB
outputs/S07_F_pranet_scrr_source_grouped_oof_feasibility_v1_fix1/fold_checkpoints/scrr_fold3_epoch30.pt,,249866,244.01 KiB
outputs/S07_F_pranet_scrr_source_grouped_oof_feasibility_v1_fix1/fold_checkpoints/scrr_fold4_epoch30.pt,,249866,244.01 KiB
outputs/S07_H_v4_scrr_tristate_source_grouped_oof_v1/fold_checkpoints/v4_tristate_fold0_epoch30.pt,,248481,242.66 KiB
outputs/S07_H_v4_scrr_tristate_source_grouped_oof_v1/fold_checkpoints/v4_tristate_fold1_epoch30.pt,,248481,242.66 KiB
outputs/S07_H_v4_scrr_tristate_source_grouped_oof_v1/fold_checkpoints/v4_tristate_fold2_epoch30.pt,,248481,242.66 KiB
outputs/S07_H_v4_scrr_tristate_source_grouped_oof_v1/fold_checkpoints/v4_tristate_fold3_epoch30.pt,,248481,242.66 KiB
outputs/S07_H_v4_scrr_tristate_source_grouped_oof_v1/fold_checkpoints/v4_tristate_fold4_epoch30.pt,,248481,242.66 KiB
