dataset,path,size_bytes,size_human,route_priority
NeoPolyp,outputs/S01_B_pranet_source_only_seed20260817_v1/checkpoints/best_source_val_dice.pt,375165450,357.79 MiB,100
NeoPolyp,outputs/S01_B_pranet_source_only_seed20260818_v1/checkpoints/best_source_val_dice.pt,375165450,357.79 MiB,100
NeoPolyp,outputs/S01_B_pranet_source_only_seed20260819_v1/checkpoints/best_source_val_dice.pt,375165450,357.79 MiB,100
NeoPolyp,outputs/S05_B_deeplabv3_r50_source_only_seed20260817_v1/checkpoints/best_source_val_dice.pt,476122922,454.07 MiB,99
NeoPolyp,outputs/S05_B_deeplabv3_r50_source_only_seed20260818_v1/checkpoints/best_source_val_dice.pt,476122922,454.07 MiB,99
NeoPolyp,outputs/S05_B_deeplabv3_r50_source_only_seed20260819_v1/checkpoints/best_source_val_dice.pt,476122922,454.07 MiB,99
NeoPolyp,outputs/Q1_R02_segformer_b0_three_seed_source_training_v1_fix7/seed_20260820/best_model_state.pt,14930694,14.24 MiB,98
NeoPolyp,outputs/Q1_R02_segformer_b0_three_seed_source_training_v1_fix7/seed_20260820/last_model_state.pt,14930694,14.24 MiB,98
NeoPolyp,outputs/Q1_R02_segformer_b0_three_seed_source_training_v1_fix7/seed_20260821/best_model_state.pt,14930694,14.24 MiB,98
NeoPolyp,outputs/Q1_R02_segformer_b0_three_seed_source_training_v1_fix7/seed_20260821/last_model_state.pt,14930694,14.24 MiB,98
NeoPolyp,outputs/Q1_R02_segformer_b0_three_seed_source_training_v1_fix7/seed_20260822/best_model_state.pt,14930694,14.24 MiB,98
NeoPolyp,outputs/Q1_R02_segformer_b0_three_seed_source_training_v1_fix7/seed_20260822/last_model_state.pt,14930694,14.24 MiB,98
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold1/last.pt,476082528,454.03 MiB,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold2/last.pt,476082336,454.03 MiB,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold3/last.pt,476081760,454.03 MiB,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold0/last.pt,476081120,454.03 MiB,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold4/last.pt,476080928,454.03 MiB,100
