method,training_seed,rows,harm_rows,auroc,auprc
SafeTTA,20260817,1532,510,0.6170618932504508,0.4989462929784738
SafeTTA,20260818,1532,502,0.595950179863072,0.48360439203803673
SafeTTA,20260819,1532,506,0.6360997465116458,0.49575854009797027
SicTTA-CCD,20260817,1532,510,0.6457215763017536,0.4770446795551496
SicTTA-CCD,20260818,1532,502,0.6410890418906897,0.47789810518820597
SicTTA-CCD,20260819,1532,506,0.6180637419195771,0.4226602385859969
TEGDA-ADIC,20260817,1532,510,0.5952208280572504,0.38444289292829836
TEGDA-ADIC,20260818,1532,502,0.585492979538158,0.39046840009833117
TEGDA-ADIC,20260819,1532,506,0.6271120819175738,0.40560180911815724
MC-dropout,20260817,1532,510,0.42566094931123144,0.31709510159101095
MC-dropout,20260818,1532,502,0.43591846207403395,0.3233104520997355
MC-dropout,20260819,1532,506,0.4779199315812588,0.3439333025263011
