rep,safetta_pooled_auroc,ccd_pooled_auroc,delta_safetta_minus_ccd_pooled_auroc,safetta_pooled_auprc,ccd_pooled_auprc,delta_safetta_minus_ccd_pooled_auprc,safetta_macro2_auroc,ccd_macro2_auroc,delta_safetta_minus_ccd_macro2_auroc,safetta_macro2_auprc,ccd_macro2_auprc,delta_safetta_minus_ccd_macro2_auprc
0,0.6654228375277056,0.6393723245687436,0.02605051295896199,0.6082146717363179,0.4947651780065192,0.11344949372979873,0.6674899180452629,0.6447467328385892,0.022743185206673733,0.6127277736222327,0.5021566478972542,0.11057112572497851
1,0.6622564469186503,0.6525227956147007,0.009733651303949542,0.5986428251082572,0.5042167314353907,0.09442609367286647,0.6630341790816288,0.658683603523613,0.004350575558015768,0.6006928977348678,0.5118248932416398,0.08886800449322796
2,0.6621832705471945,0.6374722130235049,0.024711057523689628,0.6032950357516966,0.5084856703492882,0.09480936540240847,0.6645771478034362,0.6444285726437298,0.020148575159706472,0.608060240369452,0.5175656049271522,0.09049463544229985
3,0.656584294025093,0.6316964315153497,0.024887862509743286,0.6051271545407753,0.506973495006207,0.09815365953456823,0.657653781577406,0.6375033672170467,0.020150414360359248,0.6078298349071176,0.5145294491081935,0.09330038579892408
4,0.686607914724807,0.6376551657739179,0.04895274895088908,0.6243767327622207,0.5005122100912792,0.1238645226709415,0.688201714434178,0.6415371691634709,0.04666454527070707,0.626169371738917,0.5059549612720144,0.12021441046690251
5,0.6536843896592325,0.6528320159595788,0.0008523736996536302,0.6028139125892837,0.529589318340506,0.0732245942487777,0.6546310080467279,0.6549576058922598,-0.0003265978455319063,0.6069288659501328,0.5347588730987544,0.07216999285137848
6,0.6735323979352119,0.6637333560622153,0.009799041872996628,0.6195979297249041,0.5216565638670899,0.09794136585781421,0.676132832537323,0.6695552914244105,0.006577541112912533,0.6245994954601581,0.5294630107645133,0.09513648469564484
7,0.654843047851032,0.6509655832801517,0.003877464570880229,0.6041728845948646,0.5269856778828965,0.0771872067119681,0.6571053694135005,0.6577261842252444,-0.0006208148117439194,0.6077369019060058,0.5344276321516264,0.07330926975437946
8,0.667518401221741,0.6477270149024861,0.019791386319254922,0.608695043950358,0.5174895650380142,0.09120547891234376,0.6693312226167745,0.6520244499375092,0.01730677267926528,0.613086302855469,0.5245072077096015,0.08857909514586748
9,0.6681371728333054,0.6320359502752639,0.03610122255804149,0.6086099091435702,0.4958828115308641,0.11272709761270605,0.670895900412602,0.6372235827010513,0.03367231771155077,0.6141064999696857,0.5029095135911139,0.11119698637857178
10,0.669279325537185,0.6422849972562001,0.026994328280984914,0.6200166560923409,0.5154759840459275,0.10454067204641337,0.6722786171146355,0.6471048738895326,0.025173743225102907,0.6246309333419364,0.5212754562519103,0.10335547709002613
11,0.6713279769633463,0.636780569027589,0.03454740793575739,0.6188103461011297,0.5063283459617155,0.11248200013941423,0.6748692143516911,0.6413334200398596,0.03353579431183151,0.6223119977588102,0.5119388264729783,0.1103731712858319
12,0.6738364762103054,0.6465640649193256,0.027272411290979792,0.611921342179312,0.5141169242611963,0.09780441791811578,0.6776357640555998,0.6515893889593923,0.02604637509620744,0.6165462137062581,0.5214074560030011,0.09513875770325697
