comparator,metric,delta_safetta_minus_comparator,ci95_low,ci95_high,safetta_better_ci95
SicTTA-CCD,pooled_auroc,-0.018125038,-0.050926781,0.016866089,False
SicTTA-CCD,pooled_auprc,0.031787099,-0.0101425,0.073905343,False
SicTTA-CCD,macro3_auroc,-0.018587513,-0.051338552,0.016256849,False
SicTTA-CCD,macro3_auprc,0.033568734,-0.007102113,0.075645916,False
TEGDA-ADIC,pooled_auroc,0.013873693,-0.004834722,0.031253515,False
TEGDA-ADIC,pooled_auprc,0.099979499,0.070647117,0.128461232,True
TEGDA-ADIC,macro3_auroc,0.013761977,-0.00506084,0.031222599,False
TEGDA-ADIC,macro3_auprc,0.099265374,0.070331666,0.127617036,True
MC-dropout,pooled_auroc,0.169560252,0.133488863,0.205001145,True
MC-dropout,pooled_auprc,0.165146944,0.123824396,0.203790049,True
MC-dropout,macro3_auroc,0.169870826,0.133670408,0.205639312,True
MC-dropout,macro3_auprc,0.16465679,0.123473506,0.203287687,True
