method,metric,expected_value,status,example_source,all_hit_count
SafeTTA,pooled_auroc,0.616419085,PASS,outputs\Q1_R17A_CCD_polypgen_matched6_postGT_evaluation_v1_fix1\R17A_POLYPGEN_MATCHED6_PER_FAMILY_METRICS.csv,5
SafeTTA,pooled_auprc,0.491783038,PASS,outputs\Q1_R17A_CCD_polypgen_matched6_postGT_evaluation_v1_fix1\R17A_POLYPGEN_MATCHED6_PER_FAMILY_METRICS.csv,5
SafeTTA,macro3_auroc,0.616370607,PASS,outputs\Q1_R17A_polypgen_deeplab3_fourway_postGT_evaluation_v1\R17A_POLYPGEN_DEEPLAB3_FOURWAY_EVALUATION_REPORT.txt,4
SafeTTA,macro3_auprc,0.492769742,PASS,outputs\Q1_R17A_polypgen_deeplab3_fourway_postGT_evaluation_v1\R17A_POLYPGEN_DEEPLAB3_FOURWAY_EVALUATION_REPORT.txt,4
SicTTA-CCD,pooled_auroc,0.634544123,PASS,outputs\Q1_R17A_CCD_polypgen_matched6_postGT_evaluation_v1_fix1\R17A_POLYPGEN_MATCHED6_PER_FAMILY_METRICS.csv,5
SicTTA-CCD,pooled_auprc,0.459995939,PASS,outputs\Q1_R17A_CCD_polypgen_matched6_postGT_evaluation_v1_fix1\R17A_POLYPGEN_MATCHED6_PER_FAMILY_METRICS.csv,5
SicTTA-CCD,macro3_auroc,0.634958120,PASS,outputs\Q1_R17A_polypgen_deeplab3_fourway_postGT_evaluation_v1\R17A_POLYPGEN_DEEPLAB3_FOURWAY_EVALUATION_REPORT.txt,4
SicTTA-CCD,macro3_auprc,0.459201008,PASS,outputs\Q1_R17A_polypgen_deeplab3_fourway_postGT_evaluation_v1\R17A_POLYPGEN_DEEPLAB3_FOURWAY_EVALUATION_REPORT.txt,4
TEGDA-ADIC,pooled_auroc,0.602545392,PASS,outputs\Q1_R17A_polypgen_deeplab3_fourway_postGT_evaluation_v1\R17A_POLYPGEN_DEEPLAB3_FOURWAY_EVALUATION_REPORT.txt,4
TEGDA-ADIC,pooled_auprc,0.391803539,PASS,outputs\Q1_R17A_polypgen_deeplab3_fourway_postGT_evaluation_v1\R17A_POLYPGEN_DEEPLAB3_FOURWAY_EVALUATION_REPORT.txt,4
TEGDA-ADIC,macro3_auroc,0.602608630,PASS,outputs\Q1_R17A_polypgen_deeplab3_fourway_postGT_evaluation_v1\R17A_POLYPGEN_DEEPLAB3_FOURWAY_EVALUATION_REPORT.txt,4
TEGDA-ADIC,macro3_auprc,0.393504367,PASS,outputs\Q1_R17A_polypgen_deeplab3_fourway_postGT_evaluation_v1\R17A_POLYPGEN_DEEPLAB3_FOURWAY_EVALUATION_REPORT.txt,4
MC-dropout,pooled_auroc,0.446858833,PASS,outputs\Q1_R17A_polypgen_deeplab3_fourway_postGT_evaluation_v1\R17A_POLYPGEN_DEEPLAB3_FOURWAY_EVALUATION_REPORT.txt,4
MC-dropout,pooled_auprc,0.326636094,PASS,outputs\Q1_R17A_polypgen_deeplab3_fourway_postGT_evaluation_v1\R17A_POLYPGEN_DEEPLAB3_FOURWAY_EVALUATION_REPORT.txt,4
MC-dropout,macro3_auroc,0.446499781,PASS,outputs\Q1_R17A_polypgen_deeplab3_fourway_postGT_evaluation_v1\R17A_POLYPGEN_DEEPLAB3_FOURWAY_EVALUATION_REPORT.txt,4
MC-dropout,macro3_auprc,0.328112952,PASS,outputs\Q1_R17A_polypgen_deeplab3_fourway_postGT_evaluation_v1\R17A_POLYPGEN_DEEPLAB3_FOURWAY_EVALUATION_REPORT.txt,4
