scope,mean,std,median,p95,min,max
pipeline_total_with_aux_geometry_ms,640.4365080036223,17.04716645846177,635.550550010521,670.8523149689427,613.0875999806449,729.9097999930382
semantic_full_transition_precommit_ms,639.5691600046121,17.0531013918994,634.7707499808166,669.9704949191073,612.1959999436513,729.0245999465697
candidate_action_transaction_ms,555.4240530036623,15.368394660093701,549.7331499645952,579.7537799779093,538.2001000689343,638.4487999603152
post_candidate_risk_scoring_ms,28.3432569965953,2.7197835721740096,28.540900035295635,32.58696000557393,18.570300017017868,33.26810005819425
candidate_aware_incremental_after_source_available_ms,583.7673100002576,15.833827008273145,578.966050001327,610.1132399722701,564.4384999759495,667.4383000354283
simple_geometry_ms,0.8673479990102351,0.10139555210141835,0.8929000177886337,0.9612549853045494,0.6311999750323594,1.1652999673970044
unattributed_orchestration_residual_ms,0.8349170029396191,0.08716367092357255,0.8261999755632132,0.9936001006281002,0.6709999870508909,1.13469990901649
semantic_full_transition_cases_per_s,1.564604581924649,0.039910461016656865,1.5753728327477856,1.6093346820018868,1.3716958249053464,1.6334637927919222
candidate_incremental_cases_per_s,1.7142004280005612,0.044346776514873704,1.727217008114493,1.7612110443841364,1.4982658321329763,1.7716722017413935
baseline_cuda_allocated_MB,703.416015625,0.0,703.416015625,703.416015625,703.416015625,703.416015625
peak_cuda_allocated_MB,2890.546875,0.0,2890.546875,2890.546875,2890.546875,2890.546875
peak_cuda_reserved_MB,3278.0,0.0,3278.0,3278.0,3278.0,3278.0
peak_incremental_allocated_MB,2187.130859375,0.0,2187.130859375,2187.130859375,2187.130859375,2187.130859375
