comparison,metric,valid_reps,mean_delta,ci95_low,ci95_high,ci_excludes_zero
FULL_TRANSITION_GATING_EXACT50 - SOURCE_STATE_GATING_EXACT50,mean_patient_3d_deployed_dice,2000,0.005614841395661211,0.0031477890078121682,0.008305095129112318,True
FULL_TRANSITION_GATING_EXACT50 - SOURCE_STATE_GATING_EXACT50,mean_slice_deployed_dice,2000,0.02584710544821582,0.018982795436086632,0.032951355919775244,True
FULL_TRANSITION_GATING_EXACT50 - SOURCE_STATE_GATING_EXACT50,prevented_harm_fraction,2000,0.3236217719566132,0.2751058262860347,0.3741522696034935,True
FULL_TRANSITION_GATING_EXACT50 - SOURCE_STATE_GATING_EXACT50,committed_harm_rate,2000,-0.09076382526269708,-0.10990124518122257,-0.07341540907591342,True
FULL_TRANSITION_GATING_EXACT50 - SOURCE_STATE_GATING_EXACT50,benefit_capture_fraction,2000,-0.004719818556627745,-0.050655083745067005,0.04105618175332288,False
FULL_TRANSITION_GATING_EXACT50 - SIMPLE_GEOMETRY_GATING_EXACT50,mean_patient_3d_deployed_dice,2000,-0.0014192098003585688,-0.002692432522712582,-0.000135748999031291,True
FULL_TRANSITION_GATING_EXACT50 - SIMPLE_GEOMETRY_GATING_EXACT50,mean_slice_deployed_dice,2000,0.0035823929083019426,-0.00037975210559300365,0.007663067475200565,False
FULL_TRANSITION_GATING_EXACT50 - SIMPLE_GEOMETRY_GATING_EXACT50,prevented_harm_fraction,2000,-0.08955075898593741,-0.13483335543892225,-0.04574420677361864,True
FULL_TRANSITION_GATING_EXACT50 - SIMPLE_GEOMETRY_GATING_EXACT50,committed_harm_rate,2000,0.02519937789992118,0.013793715846004126,0.03751252888500191,True
FULL_TRANSITION_GATING_EXACT50 - SIMPLE_GEOMETRY_GATING_EXACT50,benefit_capture_fraction,2000,0.16736330795100185,0.11265430002768649,0.2181011740749712,True
FULL_TRANSITION_GATING_EXACT50 - SOURCE_ONLY,mean_patient_3d_deployed_dice,2000,-0.001955318904921964,-0.003641972806832733,-0.0004347921865437174,True
FULL_TRANSITION_GATING_EXACT50 - SOURCE_ONLY,mean_slice_deployed_dice,2000,-0.007744909957681497,-0.013103644870759042,-0.002978952263381604,True
FULL_TRANSITION_GATING_EXACT50 - SOURCE_ONLY,prevented_harm_fraction,2000,-0.24747218469774315,-0.28257090387909256,-0.2111807171777813,True
FULL_TRANSITION_GATING_EXACT50 - SOURCE_ONLY,benefit_capture_fraction,2000,0.3156932016092585,0.27596791559000866,0.35185185185185186,True
FULL_TRANSITION_GATING_EXACT50 - ADAPT_ALL,mean_patient_3d_deployed_dice,2000,0.007356645513842904,0.004979713037281094,0.009949559098864058,True
FULL_TRANSITION_GATING_EXACT50 - ADAPT_ALL,mean_slice_deployed_dice,2000,0.02444355861935365,0.01720818198610375,0.0318723130935262,True
FULL_TRANSITION_GATING_EXACT50 - ADAPT_ALL,prevented_harm_fraction,2000,0.7525278153022569,0.7174290961209074,0.7888192828222187,True
FULL_TRANSITION_GATING_EXACT50 - ADAPT_ALL,committed_harm_rate,2000,-0.07061884185154192,-0.08104150043833787,-0.061062174141342365,True
FULL_TRANSITION_GATING_EXACT50 - ADAPT_ALL,benefit_capture_fraction,2000,-0.6843067983907415,-0.7240320844099913,-0.6481481481481481,True
FULL_TRANSITION_GATING_EXACT50 - MATCHED_RANDOM_EXACT50,mean_patient_3d_deployed_dice,2000,0.002630501897011902,0.0012427451139143258,0.004089573090690887,True
FULL_TRANSITION_GATING_EXACT50 - MATCHED_RANDOM_EXACT50,mean_slice_deployed_dice,2000,0.008284554073813144,0.004658080649166877,0.011584782094596987,True
FULL_TRANSITION_GATING_EXACT50 - MATCHED_RANDOM_EXACT50,prevented_harm_fraction,2000,0.251621393707131,0.21702372090760144,0.2876052848459874,True
FULL_TRANSITION_GATING_EXACT50 - MATCHED_RANDOM_EXACT50,committed_harm_rate,2000,-0.07052165747198007,-0.08013746049536158,-0.061503276332961355,True
FULL_TRANSITION_GATING_EXACT50 - MATCHED_RANDOM_EXACT50,benefit_capture_fraction,2000,-0.18342414616857172,-0.2340347194508739,-0.1350799877279102,True
