cohort,family,action,n,harm_n,harm_prevalence,neutral_n,benefit_n,delta_mean,delta_median,delta_min,delta_max,source_dice_mean,action_dice_mean
Prostate158,DeepLabV3_R50,TENT1,3553,748,0.21052631578947367,2409,396,-0.10960016081877626,0.0,-1.0,1.0,0.8434633429731542,0.7338631821543778
Prostate158,DeepLabV3_R50,PL-CONF90,3553,587,0.16521249648184633,2723,243,0.00018914220877582928,0.0,-1.0,1.0,0.8434633429731542,0.84365248518193
Prostate158,DeepLabV3_R50,MEMO-SEG4-1STEP,3553,70,0.019701660568533633,3359,124,0.0008665198852197869,0.0,-1.0,1.0,0.8434633429731542,0.8443298628583739
Prostate158,SegFormer_B0,TENT1,3553,290,0.08162116521249649,3046,217,-0.00030824920241022614,0.0,-1.0,1.0,0.8279456966321909,0.8276374474297808
Prostate158,SegFormer_B0,PL-CONF90,3553,89,0.025049254151421334,3364,100,0.008152632343170044,0.0,-0.5707890318970341,1.0,0.8279456966321909,0.836098328975361
Prostate158,SegFormer_B0,MEMO-SEG4-1STEP,3553,106,0.029833943146636645,3380,67,0.0061722174787645365,0.0,-1.0,1.0,0.8279456966321909,0.8341179141109555
PROMISE12,DeepLabV3_R50,TENT1,1377,284,0.20624546114742193,910,183,-0.06895519476736144,0.0,-1.0,1.0,0.8255739905915717,0.7566187958242102
PROMISE12,DeepLabV3_R50,PL-CONF90,1377,210,0.15250544662309368,1076,91,0.001493921187116025,0.0,-1.0,1.0,0.8255739905915717,0.8270679117786875
PROMISE12,DeepLabV3_R50,MEMO-SEG4-1STEP,1377,28,0.020334059549745823,1304,45,0.0020814420274551915,0.0,-1.0,1.0,0.8255739905915717,0.8276554326190266
PROMISE12,SegFormer_B0,TENT1,1377,410,0.29774872912127814,732,235,-0.1381309794095297,0.0,-1.0,1.0,0.6649221775308332,0.5267911981213035
PROMISE12,SegFormer_B0,PL-CONF90,1377,101,0.07334785766158315,1190,86,0.012978759260006332,0.0,-1.0,1.0,0.6649221775308332,0.6779009367908394
PROMISE12,SegFormer_B0,MEMO-SEG4-1STEP,1377,124,0.09005083514887437,1217,36,-0.0021831468184925124,0.0,-1.0,1.0,0.6649221775308332,0.6627390307123406
