stratum,score,n,harm_n,benefit_n,support_gate,auroc,auprc,prevalence
1,SOURCE_STATE,0,0,0,False,,,
1,SOURCE_PLUS_SIMPLE_MASK_CHANGE,0,0,0,False,,,
1,FROZEN_FULL_TRANSITION_SAFETTA,0,0,0,False,,,
1,CHANGE_MAGNITUDE_ONLY,0,0,0,False,,,
2,SOURCE_STATE,0,0,0,False,,,
2,SOURCE_PLUS_SIMPLE_MASK_CHANGE,0,0,0,False,,,
2,FROZEN_FULL_TRANSITION_SAFETTA,0,0,0,False,,,
2,CHANGE_MAGNITUDE_ONLY,0,0,0,False,,,
3,SOURCE_STATE,383,135,248,True,0.5977598566308243,0.43317297800387433,0.3524804177545692
3,SOURCE_PLUS_SIMPLE_MASK_CHANGE,383,135,248,True,0.5681302270011948,0.40127708479480484,0.3524804177545692
3,FROZEN_FULL_TRANSITION_SAFETTA,383,135,248,True,0.718010752688172,0.5559411349852568,0.3524804177545692
3,CHANGE_MAGNITUDE_ONLY,383,135,248,True,0.5208482676224612,0.39438247627329637,0.3524804177545692
4,SOURCE_STATE,477,166,311,True,0.4825475535582846,0.34001759667257675,0.3480083857442348
4,SOURCE_PLUS_SIMPLE_MASK_CHANGE,477,166,311,True,0.46081431836671444,0.34027463419820736,0.3480083857442348
4,FROZEN_FULL_TRANSITION_SAFETTA,477,166,311,True,0.5966954635261303,0.44856364119162234,0.3480083857442348
4,CHANGE_MAGNITUDE_ONLY,477,166,311,True,0.47022817959942664,0.37677707627908874,0.3480083857442348
